BsM_lakeName,latBsM,longBsM,bsmWaterbodyID,ARU_lakeName,latARU_conv,longARU_conv,ARU_LID,Notes,elevation
South,44.43422,-76.22132,18-4028-49206,South,44.43416667,-76.22166667,18-4028-49206,,84.82099915
Charleston,44.5346,-76.01579,18-4196-49317,Charleston,44.53611111,-76.01194444,18-4196-49317,,87.14506531
Dog,44.4302,-76.33444,18-3938-49203,Dog,44.43,-76.33472222,18-3938-49203,,98.41400146
Whitefish,44.51719,-76.23477,18-4014-49297,Whitefish,44.51583333,-76.24,18-4014-49297,,99.18512726
Sand,44.56822,-76.26322,18-3998-49356,Sand,44.56833333,-76.26166667,18-3998-49356,,116.21138
Big Rideau,44.75128,-76.21379,18-4040-49580,Big Rideau,44.77083333,-76.21277778,18-4040-49580,,123.5139999
Muskrat,45.67461,-76.90849,18-3511-50603,Muskrat,45.6825,-76.91222222,18-3511-50603,,123.7505188
Upper Rideau,44.68101,-76.33973,18-3941-49484,Upper Rideau,44.68277778,-76.33666667,18-3941-49484,,124.3470001
Sydenham,44.43074,-76.55674,18-3760-49200,Sydenham,44.42472222,-76.55722222,18-3760-49200,,130.8819885
Mississippi,45.06538,-76.1853,18-4082-49908,Mississippi,45.06694444,-76.16583333,18-4082-49908,,135.8113403
Hambly,44.46818,-76.68347,18-3661-49250,Hambly,44.46805556,-76.68388889,18-3661-49250,,135.8259888
Howes,44.50864,-76.67736,18-3665-49300,Howes,44.51305556,-76.67916667,18-3665-49300,,135.8460083
Verona,44.48517,-76.68599,18-3660-49270,Verona,44.48555556,-76.68555556,18-3660-49270,,135.8460083
Thirteen Island,44.54076,-76.62158,18-3714-49331,Thirteen Island,44.54138889,-76.61916667,18-3714-49331,,150.2449951
Calabogie,45.27732,-76.74264,18-3634-50151,Calabogie,45.27833333,-76.74194444,18-3634-50151,,152.4729919
Christie,44.80311,-76.43918,18-3862-49620,Christie,44.80444444,-76.43888889,18-3862-49620,,154.3369904
Moira,44.4871,-77.45373,18-3050-49285,Moira,44.48555556,-77.45194444,18-3050-49285,,154.696701
Mink,45.56477,-77.04829,18-3401-50475,Mink,45.56472222,-77.04861111,18-3401-50475,,154.8625641
Dalhousie,44.9656,-76.56939,18-3762-49801,Dalhousie,44.96555556,-76.56972222,18-3762-49801,,156.3269958
Black,44.5541,-76.48648,18-3819-49343,Black,44.55388889,-76.48666667,18-3819-49343,,159.4409943
Chant Plain,46.31366,-78.773,17-6713-51311,Chant Plain,46.31361111,-78.775,17-6713-51311,,159.4782715
Burridge,44.66433,-76.55461,18-3767-49466,Burridge,44.66416667,-76.555,18-3767-49466,,163.3370056
White,45.29792,-76.51851,18-3808-50183,White,45.31,-76.52027778,18-3808-50183,,163.388092
Norway,45.33922,-76.71995,18-3652-50219,Norway,45.33916667,-76.72027778,18-3652-50219,,164.973999
Fourth Depot,44.59153,-76.7891,18-3580-49390,Fourth Depot,44.59222222,-76.78888889,18-3580-49390,,166.598999
Golden,45.57388,-77.33611,18-3186-50482,Golden,45.56555556,-77.32472222,18-3186-50482,,169.0802765
Round,45.64074,-77.52889,18-3030-50572,Round,45.6425,-77.52777778,18-3030-50572,,170.5571594
Elbow,44.62754,-76.72439,18-3632-49427,Elbow,44.62694444,-76.72472222,18-3632-49427,,174.5979919
Jacks,45.6908,-77.48759,18-3066-50616,NA,45.68916667,-77.49388889,18-3058-50623,"Match, different basins?",175.0039978
Potspoon,44.60304,-76.58312,18-3743-49398,Potspoon,44.6025,-76.58388889,18-3743-49398,,176.3010101
Kelly,45.7037,-77.32428,18-3191-50636,Kelly,45.70444444,-77.32444444,18-3190-50636,,178.7019653
Jacks,44.48677,-79.9956,17-5799-49262,Jacks,44.48666667,-79.99472222,17-5799-49262,,179.5754852
Little,44.81843,-79.7132,17-6016-49633,Little,44.81777778,-79.715,17-6016-49633,,180.4200134
Giroux,45.71367,-80.50404,17-5384-50622,Giroux,45.71388889,-80.50666667,17-5384-50622,,181.855011
Tee,46.15836,-77.67588,18-2932-51151,Tee,46.15972222,-77.67805556,18-2932-51151,,182.9120026
Cataract,46.25956,-83.00214,17-3457-51246,Cataract,46.25916667,-83.00222222,17-3457-51246,,183.8803406
Sheffield Long,44.59529,-77.00966,18-3404-49395,Sheffield Long,44.59305556,-77.01083333,18-3404-49395,,185.3395386
Boat,44.72592,-81.22706,17-4820-49523,Boat,44.72583333,-81.2275,17-4820-49523,,185.6647491
Bull,44.68776,-76.97467,18-3434-49499,Bull,44.68722222,-76.97611111,18-3434-49499,,185.9759827
Cameron,45.217,-81.55793,17-4561-50068,Cameron,45.21555556,-81.55861111,17-4561-50068,,186.0066376
Cyprus,45.23131,-81.53198,17-4583-50085,Cyprus,45.23055556,-81.53166667,17-4583-50085,,186.4701843
Rice,44.17348,-78.18609,17-7257-48946,Rice,44.17194444,-78.17638889,17-7257-48946,,186.4730072
Belmont,44.49514,-77.82654,18-2756-49309,Belmont,44.49833333,-77.82305556,18-2756-49309,,186.6560059
Gurd,45.92921,-80.54408,17-5352-50862,Gurd,45.93,-80.54583333,17-5352-50862,,186.8690033
Lauzon,46.21199,-82.82266,17-3592-51192,Lauzon,46.21416667,-82.82555556,17-3592-51192,,189.7779846
Eagle,44.68298,-76.69865,18-3651-49486,Eagle,44.67972222,-76.7025,18-3651-49486,,190.7389984
Sharbot,44.76738,-76.69336,18-3668-49582,Sharbot,44.76361111,-76.65555556,18-3690-49578,,194.5960083
Big Clear,44.72582,-76.90691,18-3490-49540,Big Clear,44.72583333,-76.90722222,18-3490-49541,,196.3070068
Rock,46.43338,-83.77218,17-2870-51459,Rock,46.43472222,-83.7725,17-2870-51459,,197.2429504
Mercer,46.16368,-80.24789,17-5565-51124,Mercer,46.16472222,-80.26861111,17-5565-51124,,197.4578552
Tea,44.87588,-79.64948,17-6065-49697,Tea,44.87472222,-79.65166667,17-6065-49697,,197.6146851
Kennebec,44.74021,-76.96521,18-3444-49557,Kennebec,44.74,-76.96555556,18-3444-49557,,198.1089935
Miller,45.09912,-81.39375,17-4689-49939,Miller,45.09972222,-81.395,17-4689-49939,,198.7935181
Round,44.49475,-77.87492,18-2714-49305,Round,44.49388889,-77.87527778,18-2714-49305,,200.0269928
Mindemoya,45.76145,-82.20196,17-4064-50680,Mindemoya,45.76111111,-82.20388889,17-4064-50680,,200.0487671
Cramadog,45.38969,-79.94266,17-5828-50266,Cramadog,45.39,-79.9425,17-5828-50266,,202.395813
Trout,46.3193,-79.33669,17-6290-51301,Trout,46.31444444,-79.32444444,17-6290-51301,,202.4234009
Silver,45.87756,-82.89127,17-3532-50820,Silver,45.8775,-82.89138889,17-3532-50820,,206.1483612
Wabagishik,46.29283,-81.58644,17-4549-51263,Wabagishik,46.29083333,-81.58555556,17-4549-51263,,208.2138367
Pearce,49.65181,-82.35069,17-4025-55006,Pearce,49.65166667,-82.35055556,17-4025-55006,,209.0003357
Farlain,44.81714,-79.97121,17-5814-49627,Farlain,44.81527778,-79.97111111,17-5814-49627,,209.2868042
Clear,46.09839,-79.78115,17-5942-51055,Clear,46.09833333,-79.78138889,17-5942-51055,,209.6200104
Stormy,46.07978,-79.77476,17-5947-51034,Stormy,46.07972222,-79.775,17-5947-51034,,209.6200104
Kagawong,45.82922,-82.30542,17-3986-50757,Kagawong,45.82916667,-82.30555556,17-3986-50757,,209.6601105
Restoule,46.05187,-79.78066,17-5950-51006,Restoule,46.05388889,-79.77194444,17-5950-51006,,210.1569977
Sparrow,44.81851,-79.39612,17-6275-49634,Sparrow,44.81416667,-79.38805556,17-6275-49634,,211.9779053
La Cloche,46.135,-82.04774,17-4169-51104,La Cloche,46.14444444,-82.07611111,17-4169-51104,,212.0928345
Big Caribou,45.93283,-80.07311,17-5718-50868,Big Caribou,45.93277778,-80.07333333,17-5718-50868,,214.519989
Cordova,44.57529,-77.82487,18-2756-49393,Cordova,44.57444444,-77.82638889,18-2756-49394,,215.9319916
Stratton,46.2045,-81.67262,17-4481-51168,Stratton,46.205,-81.67333333,17-4481-51168,,216.6169434
Walker,46.1992,-81.50973,17-4608-51161,Walker,46.19944444,-81.50833333,17-4608-51161,,216.8084412
Bear,46.18806,-81.44897,17-4652-51149,Bear,46.18916667,-81.45055556,17-4652-51149,,217.5960083
Couchiching,44.66428,-79.3763,17-6286-49481,Couchiching,44.67666667,-79.37722222,17-6286-49481,,218.1867981
St. John,44.68701,-79.32512,17-6328-49494,St. John,44.68722222,-79.32472222,17-6328-49494,,218.2019958
Long,44.79017,-79.48171,17-6191-49604,Long,44.78944444,-79.49472222,17-6191-49605,,220.4963989
Smoky,45.85335,-80.2396,17-5585-50777,Smoky,45.85222222,-80.24666667,17-5585-50777,,220.7957458
Eskwanonwatin,49.16487,-88.61939,16-3820-54468,Eskwanonwatin,49.165,-88.61861111,16-3820-54468,,220.8187561
Nonwatinose,49.22744,-88.63778,16-3807-54539,Nonwatinose,49.22777778,-88.63888889,16-3807-54538,,220.8531494
Gillies,45.20467,-81.33557,17-4736-50056,Gillies,45.20555556,-81.33555556,17-4737-50056,,221.0007172
Isabella,45.40315,-79.81337,17-5930-50285,Isabella,45.40555556,-79.81166667,17-5930-50285,,222.2449951
