BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,maxDepth,meanDepth,lat,long,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,NtoPratio
1,1,16-6284-60018,Pine,2012-07-23,2012,1.9,12.7,4.7,54.14733,-85.04051,66.3,28.3,1.2,34.2,137,14.1,8.6,0.2,2.8,1.5,14,2,343,7.8,12.8,0.8,0.2,100,2.282949945009848
1,1,16-5856-60025,Shamattawa,2012-08-24,2012,1.2,7.2,1.6,54.18624,-85.68382,50.9,17.2,2.5,105,115,11.9,15.2,0.1,2.2,2.4,18,8,412,7.4,11.5,1.5,0.1,510,2.4566517805214465
1,1,16-6292-60223,Spruce,2012-07-19,2012,2,16,4.5,54.33456,-85.01359,68,25.3,1.4,31,133,14,7.8,0.2,2.5,1.5,16,2,322,7.9,9.5,0.6,0.3,90,2.5532568199710917
1,3,16-5630-58465,McFaulds,2012-07-31,2012,0.8,3.2,1.6,52.76829,-86.05713,23.9,7.7,0.3,48.2,50,5.1,12.6,0.2,1.3,0.5,6,4,481,7.4,22,0.1,0.2,120,1.995128512268443
1,3,16-5494-59810,Wild Berry,2012-08-26,2012,0.6,2.8,1.5,53.9739,-86.25172,1,9.5,2.2,74.4,68.6,6.1,14,0.1,1.2,1.8,2,2,382,7.5,20,0.5,0.1,470,1.9814186998075336
1,7,17-3334-53694,Bittern,2012-04-30,2012,4,18.9,5.1,48.45849,-83.25316,88,36.9,0.5,17.6,208,23.7,6.6,1.2,6,0.9,24,26,390,8.2,19.4,3,1.9,45,2.008609635345384
1,7,16-6991-54320,Cameron,2011-05-27,2011,2.4,6.4,2.2,49.0175,-84.27477,72.5,22.4,0.3,23.2,150,15.8,7.9,0.5,5.7,0.6,40,8,414,7.8,10.7,1.9,2.2,94,2.532460877357321
1,7,17-3120-53099,Como,2011-05-19,2011,5.5,26,9.4,47.91648,-83.5157,28,9.6,0.3,16.2,68.8,7,7.1,0.5,2,0.7,18,14,271,7.4,6.1,1.1,3.1,105,3.07061463393332
1,7,16-6447-54048,Dayohessarah,2012-04-30,2012,5.3,26.6,10.1,48.78119,-85.02995,53,17.7,0.2,9.4,128,15.7,5.4,0.5,3.9,0.6,4,18,242,8.1,9.7,0.3,2.3,NA,2.405096927838804
1,7,16-7139-53538,Dog,2011-05-25,2011,4,75.9,12,48.30313,-84.11602,38.2,11.8,0.3,18.2,90.2,9.3,6.4,0.5,2.9,0.8,46,20,334,7.5,10.1,1.6,3.9,NA,2.502355786068514
1,7,16-6192-53335,Ellen,2012-04-30,2012,2.2,57.6,14.9,48.14412,-85.38996,8.3,3.9,0.3,60.8,29.2,2.7,9.4,0.2,0.7,0.5,6,114,310,7,5.7,1.6,2.5,84,3.2635714006365237
1,7,16-7102-54270,Gull,2011-05-27,2011,2.6,5.9,2.2,48.96202,-84.12881,74.4,22.8,0.3,22,148,15.4,11.2,0.3,5.8,0.5,44,22,533,7.9,7,2.5,1.5,111,3.2032680638352726
1,7,16-6683-54413,Haken,2011-05-27,2011,3.1,12.2,3.5,49.10397,-84.69439,121,36.4,3.6,28,243,25.3,7.9,0.5,8.4,2.4,38,8,392,8.1,8.3,2.3,1.6,111,2.8058584471258783
1,7,16-6439-54864,Hiawatha,2011-05-25,2011,3.5,11,3.9,49.51536,-85.0119,73.9,25,0.3,49.4,147,17.3,9.5,0.4,4.7,0.4,32,6,325,7.8,8.1,1.5,1,72,2.7489372840468973
1,7,16-6052-53171,Jackfish,2012-04-30,2012,2.7,25,5.6,47.99953,-85.58941,2.5,1.4,0.2,52.8,14,1,7.9,0.1,0.3,0.5,10,82,262,6.1,5.3,2,2,98,3.302140397169937
1,7,16-5412-54570,Kagiano,2011-05-25,2011,3,43.1,7.5,49.28717,-86.43241,62.8,20.1,0.3,35.6,128,15.1,10.2,0.8,4.3,0.6,40,46,372,7.6,10,2,2.2,97,2.5595986873598906
1,7,16-6225-54072,Kwinkwaga,2011-05-25,2011,4.3,36.6,6.6,48.80786,-85.33219,81.5,27.1,0.4,30,162,19.8,7.6,0.5,5.6,0.7,44,10,332,7.8,11,2.3,1.9,57,2.411952025129027
1,7,16-6727-53244,Lena,2012-04-30,2012,5.9,38.1,11,48.05118,-84.683,28,12.4,0.2,8,88.8,7.9,3.7,0.3,2.3,0.4,2,64,178,7.8,4.3,0.9,7.6,NA,3.4977924588857583
1,7,17-3006-53592,Missinaibi,2011-05-19,2011,3.5,94,19.2,48.35674,-83.69128,27.4,9.4,0.3,42.4,67.6,6.5,9.7,0.4,2.1,0.7,28,66,326,7.3,6.9,1.6,2.8,131,2.974034585103945
1,7,16-6420-54760,Nagagami,2011-05-27,2011,2.5,27.5,7.5,49.42202,-85.0419,84.3,27.9,0.3,37.6,164,18,9.3,0.5,5.9,0.6,30,28,347,7.8,9,1.9,1.5,80,2.648951999374028
1,7,16-6697-54829,Nagagamisis,2011-05-31,2011,4.2,8.2,3.8,49.47731,-84.65717,114,36.7,1.4,21.6,219,26.9,6.5,0.8,8.1,1.2,30,4,330,8,11.4,2.2,2.1,81,2.3745174436205647
1,7,16-6678-54040,Nameigos,2011-05-27,2011,1.5,4,2,48.78398,-84.70585,50.1,15.7,0,50.6,110,10.8,9.6,0.4,3.7,1.4,38,8,438,7.6,11.6,1.7,0.1,169,2.472952833189535
1,7,16-6121-53610,North McCrea,2012-04-30,2012,4,15.9,5.6,48.39452,-85.48552,13.6,5.1,0.2,39.6,40,3.8,8,0.2,1.3,0.7,8,56,296,7.4,7.8,2,2.4,NA,2.7533019350344303
1,7,16-6094-53522,Partridge,2012-04-30,2012,2.5,14.9,5.1,48.31563,-85.5247,6.8,2.9,0.2,43.6,24.4,1.9,7,0.1,0.6,0.7,4,68,240,6.9,6,2.4,2.5,63,3.0310731286866135
1,7,16-6583-54325,"Placid,",2011-05-25,2011,3,10,3.7,49.02703,-84.83384,105,34.4,0.4,21.6,201,24.5,4.4,0.5,6.4,0.8,36,4,307,8.1,11.2,1.8,1.6,60,2.361913143161049
1,7,16-6398-54390,Shekak,2011-05-25,2011,2.9,14.6,2.9,49.09008,-85.08496,89.1,28.9,0.3,40.6,172,21.2,8.3,0.4,6.4,0.6,56,12,450,7.9,10.9,1.7,1.1,74,2.5478467928122095
1,7,17-2866-53707,South Greenhill,2012-04-30,2012,1.7,7,3.2,48.45508,-83.88685,10.1,4,0.1,88.6,32,2.4,13.8,0.3,1.2,0.7,6,22,448,7.2,13.6,2.3,2.3,62,2.3324773216214956
1,7,16-6497-54012,Strickland,2012-04-30,2012,4.3,32.1,5.2,48.74758,-84.96384,20,7.6,0.2,24.4,56,5.9,7.9,0.4,1.9,0.6,10,70,317,7.7,8.8,1,2.3,55,2.6345297765100413
1,7,16-7122-53960,Tatnall,2011-05-27,2011,1.7,20,5.3,48.67829,-84.11808,40.2,12.8,0.3,50.8,87.4,9,10.6,0.6,3.2,0.7,38,36,406,7.5,8.3,1.5,2,99,2.8223428013893472
1,7,16-6348-54346,Tocheri,2011-05-27,2011,2.5,4.6,1.3,49.05147,-85.15469,61.8,20.1,0.3,29.6,123,13.4,8.4,0.4,4.4,0.5,48,8,397,7.7,11.6,0.9,1.3,97,2.4330034501818494
1,7,16-6699-53200,Wawa,2012-04-30,2012,6.3,32.9,15.6,48.01285,-84.72161,41.5,18.8,7.5,8,190,11.6,3.6,0.5,6.9,5.1,2,52,165,7.9,3.8,1.2,28.7,NA,3.75212294375015
1,7,16-6450-53469,West Kabenung,2011-05-27,2011,1.4,18.3,4.3,48.2603,-85.04903,17.8,5.7,5.3,75.6,63.2,3.9,11.9,0.3,1.6,3.6,30,80,407,7,10.2,1.5,2.4,175,2.5766243960267756
1,7,16-6003-54025,White,2011-05-27,2011,4.3,48.8,8.7,48.78835,-85.61725,80.9,25.3,0.5,35.4,155,17.6,9.2,0.4,5.5,0.7,36,38,372,7.8,15.3,2,1.8,88,2.1647282652978204
1,7,16-6053-54810,White Otter,2011-05-27,2011,2.3,9.8,2.8,49.4723,-85.54923,88.3,29.9,0.3,40.6,168,19.2,9.7,0.5,5.9,0.6,38,24,393,7.8,10.6,2,1.2,94,2.520442909693396
1,7,17-2837-53860,Woodosgoon,2012-04-30,2012,2.8,12.5,3.6,48.5914,-83.9328,18.5,7.2,0.3,51.6,53.2,4.9,10.1,0.6,1.8,0.7,12,54,387,7.6,10.5,1.5,2.1,118,2.523952372642175
1,8,17-5694-55282,"20J-33,",2008-05-30,2008,1.7,2.2,1.2,49.90421,-80.03334,13.1,4.68,0.17,67.2,31.2,3.02,9.6,0.2,1.3,0.325,18,8,263,7.11,7.4,0.42,0.8,188,2.7656587593712216
1,8,17-5851-53899,"Abitibi,",2008-05-30,2008,0.3,15.3,3.5,48.65805,-79.84475,32.5,12.1,1.44,156,83,8.04,11.8,1.28,3.14,2.1,20,152,496,7.44,45.9,1.76,3.85,190,1.621143605927336
1,8,17-3280-52990,Borden,2010-04-22,2010,5.7,45.8,7.1,47.82327,-83.29694,53.6,17.9,1.38,11,111,14,4.1,0.91,2.93,1.26,12,22,266,7.65,6.4,0.96,2.85,NA,2.9831529458025687
1,8,17-3275-54280,Brunswick,2008-06-03,2008,2,12.2,2.6,48.98722,-83.38942,58.1,17.4,0.23,78,120,14,16.3,0.385,4.68,0.495,38,26,546,7.69,11.1,1.22,1.9,97,2.6088688121934753
