lakeName,ARU_LID,LATITUDE,LONGITUDE,latD,latM1,latM2,longD,longM1,longM2,lakeName_a,lakeName_b,waterbodyAndLake,waterbodyAndLake_ok,waterbodyAndLake_pieces,waterbodyAndLake_remainder
Little Abitibi,17-5331-54730,492439,803236,49,2,4,80,3,2,Little,Abitibi,Little Abitibi,TRUE,2,
Eighty Acre,17-6402-51487,462845,791027,46,2,8,79,1,0,Eighty,Acre,Eighty Acre,TRUE,2,
Little Addie,15-6920-53364,480915,902508,48,0,9,90,2,5,Little,Addie,Little Addie,TRUE,2,
West Adobe,17-5409-51909,465221,802750,46,5,2,80,2,7,West,Adobe,West Adobe,TRUE,2,
Little Agawa,16-6981-52469,472051,842236,47,2,0,84,2,2,Little,Agawa,Little Agawa,TRUE,2,
East Ahmabel,16-6541-54939,493449,845205,49,3,4,84,5,2,East,Ahmabel,East Ahmabel,TRUE,2,
Lower Aitken,17-4323-54022,484615,815519,48,4,6,81,5,5,Lower,Aitken,Lower Aitken,TRUE,2,
South Allely,15-6885-54938,493410,902332,49,3,4,90,2,3,South,Allely,South Allely,TRUE,2,
St. Amand,17-3726-55078,494240,824603,49,4,2,82,4,6,St.,Amand,St. Amand,TRUE,2,
Little Amesdale,15-5034-55416,500144,925709,50,0,1,92,5,7,Little,Amesdale,Little Amesdale,TRUE,2,
Little Amy,17-5124-51727,464235,805016,46,4,2,80,5,0,Little,Amy,Little Amy,TRUE,2,
West Andre,16-6733-53342,480822,844014,48,0,8,84,4,0,West,Andre,West Andre,TRUE,2,
Lower Andrew,17-4640-50059,451226,812728,45,1,2,81,2,7,Lower,Andrew,Lower Andrew,TRUE,2,
Upper Andrew,17-4658-50062,451237,812607,45,1,2,81,2,6,Upper,Andrew,Upper Andrew,TRUE,2,
St. Andrews,18-2913-50800,455037,774117,45,5,0,77,4,1,St.,Andrews,St. Andrews,TRUE,2,
St. Andrews,18-3675-49403,NA,NA,NA,NA,NA,NA,NA,NA,St.,Andrews,St. Andrews,TRUE,2,
St. Andrews,17-5863-49600,444725,795433,44,4,7,79,5,4,St.,Andrews,St. Andrews,TRUE,2,
Betty Ann,15-4223-55133,494608,940442,49,4,6,94,0,4,Betty,Ann,Betty Ann,TRUE,2,
Little Anstruther,17-7247-49674,444935,780927,44,4,9,78,0,9,Little,Anstruther,Little Anstruther,TRUE,2,
St. Anthony,17-5962-53128,475747,794239,47,5,7,79,4,2,St.,Anthony,St. Anthony,TRUE,2,
St. Anthony,17-7092-50510,453500,781906,45,3,5,78,1,9,St.,"Anthony,","St. Anthony,",TRUE,2,
North Arabi,15-6566-54931,493420,905003,49,3,4,90,5,0,North,Arabi,North Arabi,TRUE,2,
Little Arrowhead,17-6415-50297,452430,791132,45,2,4,79,1,1,Little,Arrowhead,Little Arrowhead,TRUE,2,
Mountain Ash,17-3325-52134,470317,831218,47,0,3,83,1,2,Mountain,Ash,Mountain Ash,TRUE,2,
Little Athelstane,15-7023-54023,484436,901452,48,4,4,90,1,4,Little,Athelstane,Little Athelstane,TRUE,2,
West Aumond,17-6874-51179,461128,783418,46,1,1,78,3,4,West,Aumond,West Aumond,TRUE,2,
Little Aurora,17-5294-52464,472220,803638,47,2,2,80,3,6,Little,Aurora,Little Aurora,TRUE,2,
Little Avery,17-4822-52252,NA,NA,NA,NA,NA,NA,NA,NA,Little,Avery,Little Avery,TRUE,2,
Little Avery,17-6725-50059,451114,784816,45,1,1,78,4,8,Little,Avery,Little Avery,TRUE,2,
Lost Axe,15-4975-54673,492136,930203,49,2,1,93,0,2,Lost,Axe,Lost Axe,TRUE,2,
Lost Axe,15-4965-54658,492048,930252,49,2,0,93,0,2,Lost,Axe,Lost Axe,TRUE,2,
Big Bald,17-7074-49389,443432,782315,44,3,4,78,2,3,Big,Bald,Big Bald,TRUE,2,
Little Bald,17-7050-49386,443426,782505,44,3,4,78,2,5,Little,Bald,Little Bald,TRUE,2,
North Baril,15-6677-54074,484755,904300,48,4,7,90,4,3,North,Baril,North Baril,TRUE,2,
Red Bark,17-3319-52712,473429,831406,47,3,4,83,1,4,Red,Bark,Red Bark,TRUE,2,
Upper Bark,17-3855-52054,465938,823020,46,5,9,82,3,0,Upper,Bark,Upper Bark,TRUE,2,
White Bark,17-3324-52714,473435,831344,47,3,4,83,1,3,White,Bark,White Bark,TRUE,2,
Green Bass,17-5606-50260,452312,801332,45,2,3,80,1,3,Green,Bass,Green Bass,TRUE,2,
Lower Bass,17-5601-52034,465902,801235,46,5,9,80,1,2,Lower,Bass,Lower Bass,TRUE,2,
Lower Bass,18-3128-51017,460244,772512,46,0,2,77,2,5,Lower,Bass,Lower Bass,TRUE,2,
Upper Bass,17-5579-52068,470050,801417,47,0,0,80,1,4,Upper,Bass,Upper Bass,TRUE,2,
Upper Bass,18-3121-51026,460312,772543,46,0,3,77,2,5,Upper,Bass,Upper Bass,TRUE,2,
Little Basswood,17-3145-51305,461818,832432,46,1,8,83,2,4,Little,Basswood,Little Basswood,TRUE,2,
Devils Bay,17-4493-50891,455720,813914,45,5,7,81,3,9,Devils,Bay,Devils Bay,TRUE,2,
Farm Bay,17-7094-50386,452818,781916,45,2,8,78,1,9,Farm,Bay,Farm Bay,TRUE,2,
South Bayfield,16-6497-54325,490145,845709,49,0,1,84,5,7,South,Bayfield,South Bayfield,TRUE,2,
Lake of Bays,15-6207-55385,495920,911859,49,5,9,91,1,8,of,"Bays,","of Bays,",TRUE,2,
Lake of Bays,17-6567-50131,451521,790009,45,1,5,79,0,0,of,"Bays,","of Bays,",TRUE,2,
Brown Bear,15-4072-55665,501443,941808,50,1,4,94,1,8,Brown,Bear,Brown Bear,TRUE,2,
Little Bear,15-5035-56548,510247,925700,51,0,2,92,5,7,Little,Bear,Little Bear,TRUE,2,
Little Bear,17-4603-51135,461032,813051,46,1,0,81,3,0,Little,Bear,Little Bear,TRUE,2,
Little Bear,17-6492-50410,453032,790525,45,3,0,79,0,5,Little,Bear,Little Bear,TRUE,2,
Thieving Bear,17-5890-52256,471046,794934,47,1,0,79,4,9,Thieving,Bear,Thieving Bear,TRUE,2,
White Bear,17-3393-51732,464142,830605,46,4,1,83,0,6,White,Bear,White Bear,TRUE,2,
Black Beaver,16-6882-52534,472431,843021,47,2,4,84,3,0,Black,Beaver,Black Beaver,TRUE,2,
Little Beaver,17-4805-52160,470557,811523,47,0,5,81,1,5,Little,Beaver,Little Beaver,TRUE,2,
Little Beaver,17-6385-50881,455603,791251,45,5,6,79,1,2,Little,Beaver,Little Beaver,TRUE,2,
Little Beaver,18-2746-50441,453058,775309,45,3,0,77,5,3,Little,Beaver,Little Beaver,TRUE,2,
South Beaver,17-6756-49611,444702,784649,44,4,7,78,4,6,South,Beaver,South Beaver,TRUE,2,
Prairie Bee,17-2830-53096,475417,835412,47,5,4,83,5,4,Prairie,Bee,Prairie Bee,TRUE,2,
