waterbodyID,lakeName,lat,long,latD,latM1,latM2,longD,longM1,longM2,waterbodyID_OG,lakeName_a,lakeName_b,waterbodyAndLake,waterbodyAndLake_ok,waterbodyAndLake_pieces,waterbodyAndLake_remainder
17-6148-53211,Lac Dufay,48.03306,-79.45939,48,0,3,79,4,5,17-6148-53211,Lac,Dufay,17-6148-53211 Lac Dufay,TRUE,3,
16-6284-60018,Pine ,54.14733,-85.04051,54,1,4,85,0,4,16-6284-60018,Pine,,16-6284-60018 Pine ,TRUE,3,
16-5856-60025,Shamattawa ,54.18624,-85.68382,54,1,8,85,6,8,16-5856-60025,Shamattawa,,16-5856-60025 Shamattawa ,TRUE,3,
16-6292-60223,Spruce ,54.33456,-85.01359,54,3,3,85,0,1,16-6292-60223,Spruce,,16-6292-60223 Spruce ,TRUE,3,
16-5630-58465,McFaulds ,52.76829,-86.05713,52,7,6,86,0,5,16-5630-58465,McFaulds,,16-5630-58465 McFaulds ,TRUE,3,
16-5494-59810,NA,53.9739,-86.25172,53,9,7,86,2,5,16-5494-59810,"NA",NA,16-5494-59810 NA,FALSE,2,
17-3334-53694,Bittern ,48.45849,-83.25316,48,4,5,83,2,5,17-3334-53694,Bittern,,17-3334-53694 Bittern ,TRUE,3,
16-6991-54320,Cameron ,49.0175,-84.27477,49,0,1,84,2,7,16-6991-54320,Cameron,,16-6991-54320 Cameron ,TRUE,3,
17-3120-53099,Como ,47.91648,-83.5157,47,9,1,83,5,1,17-3120-53099,Como,,17-3120-53099 Como ,TRUE,3,
16-6447-54048,Dayohessarah ,48.78119,-85.02995,48,7,8,85,0,2,16-6447-54048,Dayohessarah,,16-6447-54048 Dayohessarah ,TRUE,3,
16-7139-53538,Dog ,48.30313,-84.11602,48,3,0,84,1,1,16-7139-53538,Dog,,16-7139-53538 Dog ,TRUE,3,
16-6192-53335,Ellen ,48.14412,-85.38996,48,1,4,85,3,8,16-6192-53335,Ellen,,16-6192-53335 Ellen ,TRUE,3,
17-3280-53321,Floranna ,48.1212,-83.31097,48,1,2,83,3,1,17-3280-53321,Floranna,,17-3280-53321 Floranna ,TRUE,3,
16-5921-55162,Flynne ,49.79314,-85.72027,49,7,9,85,7,2,16-5921-55162,Flynne,,16-5921-55162 Flynne ,TRUE,3,
16-7102-54270,Gull ,48.96202,-84.12881,48,9,6,84,1,2,16-7102-54270,Gull,,16-7102-54270 Gull ,TRUE,3,
16-6683-54413,Haken ,49.10397,-84.69439,49,1,0,84,6,9,16-6683-54413,Haken,,16-6683-54413 Haken ,TRUE,3,
16-6439-54864,Hiawatha ,49.51536,-85.0119,49,5,1,85,0,1,16-6439-54864,Hiawatha,,16-6439-54864 Hiawatha ,TRUE,3,
16-6052-53171,Jackfish ,47.99953,-85.58941,47,9,9,85,5,8,16-6052-53171,Jackfish,,16-6052-53171 Jackfish ,TRUE,3,
16-6893-54197,Kabinakagami ,48.90799,-84.40651,48,9,0,84,4,0,16-6893-54197,Kabinakagami,,16-6893-54197 Kabinakagami ,TRUE,3,
16-6863-54334,Kabinakagamisis ,49.02999,-84.45079,49,0,2,84,4,5,16-6863-54334,Kabinakagamisis,,16-6863-54334 Kabinakagamisis ,TRUE,3,
