BsM_lakeName,latBsM,longBsM,bsmWaterbodyID,ARU_lakeName,latARU_conv,longARU_conv,ARU_LID,Notes,commonID
Abbess,48.67977,-91.68384,15-5970-53925,Abbess,48.68027778,-91.68277778,15-5970-53925,NA,Abbess_1
Abigogami,48.99719,-88.82025,16-3670-54288,Abigogami,48.99944444,-88.81833333,16-3670-54288,NA,Abigogami_1
Abitibi,48.65805,-79.84475,17-5851-53899,Abitibi,48.65833333,-79.845,17-5850-53899,NA,Abitibi_1
Abram,50.05909,-91.92916,15-5765-55453,Abram,50.05722222,-91.93166667,15-5765-55453,NA,Abram_1
Achigan,46.91679,-84.19601,16-7134-51997,Achigan,46.91861111,-84.19666667,16-7135-51997,NA,Achigan_1
Addie,48.16665,-90.42954,15-6910-53378,Addie,48.16638889,-90.43111111,15-6910-53378,NA,Addie_1
Adelaide,47.05965,-84.31112,16-7046-52151,Adelaide,47.06,-84.30527778,16-7046-52151,NA,Adelaide_1
Agnes,48.22804,-91.35112,15-6228-53450,Agnes,48.24805556,-91.34527778,15-6229-53450,NA,Agnes_1
Agnew,46.36526,-81.75464,17-4414-51336,Agnew,46.35527778,-81.76111111,17-4414-51336,NA,Agnew_1
Ahmic,45.63437,-79.69545,17-6025-50535,Ahmic,45.62944444,-79.685,17-6025-50535,NA,Ahmic_1
Aileen,46.87867,-80.01783,17-5748-51919,Aileen,46.87861111,-80.01805556,17-5748-51919,NA,Aileen_1
Alder,44.86839,-78.14583,17-7255-49721,Alder,44.86833333,-78.14611111,17-7254-49721,NA,Alder_1
Amik,49.83026,-91.91356,15-5782-55201,Amik,49.83055556,-91.91222222,15-5782-55201,NA,Amik_1
Andy,49.62961,-94.08984,15-4216-54977,Andy,49.62916667,-94.08611111,15-4216-54977,NA,Andy_1
Anima Nipissing,47.25951,-79.90616,17-5827-52344,Anima Nipissing,47.25944444,-79.90638889,17-5827-52344,NA,Anima Nipissing_1
Anishinabi,50.43988,-93.44327,15-4674-55871,Anishinabi,50.43666667,-93.45972222,15-4673-55871,NA,Anishinabi_1
Anvil,47.07089,-83.51018,17-3094-52159,Anvil,47.07083333,-83.51027778,17-3094-52159,NA,Anvil_1
Anvil,47.42262,-80.26691,17-5552-52523,Anvil,47.42416667,-80.26833333,17-5552-52523,NA,Anvil_2
Arbuckle,45.37262,-78.81965,17-6707-50264,Arbuckle,45.37222222,-78.81944444,17-6708-50264,NA,Arbuckle_1
Arethusa,49.71847,-91.86176,15-5837-55088,Arethusa,49.7275,-91.83888889,15-5837-55088,NA,Arethusa_1
Argo,48.25397,-91.80679,15-5888-53453,Argo,48.25694444,-91.80388889,15-5888-53453,NA,Argo_1
Armstrong,45.51245,-79.91693,17-5846-50402,Armstrong,45.51222222,-79.91722222,17-5846-50402,NA,Armstrong_1
Arrow,48.15855,-90.26498,15-7025-53379,Arrow,48.16416667,-90.27611111,15-7025-53379,NA,Arrow_1
Astonish,46.56531,-82.85482,17-3582-51582,Astonish,46.56416667,-82.85055556,17-3582-51582,NA,Astonish_1
Athelstane,48.77457,-90.20796,15-7050-54058,Athelstane,48.77305556,-90.20972222,15-7050-54058,NA,Athelstane_1
