BsM_Cycle,Region,FMZ,waterbodyID,lakeName,BsM_ProjectName,Target Species,lat,long,dateSample,DD5 8110,Air Temp 8110,Lake Selection,surfaceArea,meanDepth,maxDepth,lakeVolume,yearSample,monthSample,daySample,Temperature/DO Sample Dates,Large and Small Mesh Netting Sample Dates
3,NA,5,15-6218-54036,Sapawe L.,NA,,48.77264,-91.34185,,,,Supplemental,481.2,,,,2023,7,30,30-Jul-23,"01-Aug-23, 30-Jul-23, 31-Jul-23"
3,NA,4,15-4250-55493,Delaney L.,NA, Lake Trout,50.09299,-94.048,26-May-22,1707,2.8,Trend,1278.1,22.8,81.4,292250401.4,2021,7,27,27-Jul-21,"26-Jul-21, 27-Jul-21, 28-Jul-21"
3,NA,5,15-6401-54050,Crooked Pine L.,NA,,48.7846,-91.09824,,1530,2.6,Supplemental,1672.9,6.1,16.2,97856195.49,2019,8,26,26-Aug-19,"26-Aug-19, 27-Aug-19, 28-Aug-19"
3,NA,4,15-6304-54898,Sowden L.,NA, Walleye,49.54735,-91.20672,23-May-19,1545,2.3,Trend,3739.1,6.3,18.3,234271813.3,2019,7,23,23-Jul-19,"21-Jul-19, 22-Jul-19, 23-Jul-19"
3,NA,5,15-3726-54565,"of the Woods, L.",NA, Walleye,49.32857,-94.50117,,,,Trend - nonrandom,219338.4,,,,2019,8,22,22-Aug-19,"22-Aug-19, 23-Aug-19"
3,NA,5,15-5858-54247,Crowrock L.,NA, Walleye,48.97243,-91.79738,,1612,2.9,Trend,1813,12.4,50.3,226920672.1,2022,6,18,18-Jun-22,"16-Jun-22, 17-Jun-22, 18-Jun-22, 20-Jun-22, 21-Jun-22, 22-Jun-22"
3,NA,5,15-5472-54633,Wapageisi L.,NA, Lake Trout,49.32443,-92.35219,24-May-22,1643,2.8,Trend,1838.4,11,46,202921114.4,2022,6,17,17-Jun-22,"15-Jun-22, 16-Jun-22, 17-Jun-22, 18-Jun-22, 19-Jun-22"
3,NA,6,15-6867-53877,Upper Shebandowan L.,NA,,48.63351,-90.44608,18-May-18,1454,2.4,Supplemental,1903.6,6.4,37,109786588,2018,6,14,14-Jun-18,"12-Jun-18, 13-Jun-18, 14-Jun-18, 15-Jun-18"
3,NA,5,15-3982-55227,Black Sturgeon L.s,NA, Walleye,49.84838,-94.36373,,1771,3.2,Trend,3070.7,8,36.6,242871992.2,2023,6,13,13-Jun-23,"13-Jun-23, 14-Jun-23, 15-Jun-23, 16-Jun-23, 17-Jun-23"
3,NA,4,15-5853-54894,Mameigwess L.,NA, Lake Trout,49.55072,-91.82545,25-May-22,1612,2.5,Trend,5242,16.1,50,854861751.7,2019,6,12,12-Jun-19,"11-Jun-19, 12-Jun-19, 13-Jun-19, 14-Jun-19"
3,NA,6,15-7089-53866,Lower Shebandowan L.,NA,,48.61245,-90.17507,18-May-18,1443,2.4,Supplemental,2309.4,3.9,12.2,91101557.01,2018,6,12,12-Jun-18,"12-Jun-18, 13-Jun-18, 14-Jun-18, 15-Jun-18"
3,NA,6,15-6988-53913,Shebandowan L.s,NA, Walleye,48.64304,-90.30157,,1444,2.4,Trend,5971.7,6.1,36.6,362115459.1,2018,6,12,12-Jun-18,"12-Jun-18, 13-Jun-18, 14-Jun-18, 15-Jun-18"
3,NA,4,15-6164-54885,Cecil L.,NA, Lake Trout,49.54021,-91.40065,"23-May-19, 25-May-22",1569,2.3,Trend,1560.8,12.4,24.4,195266138.4,2019,6,11,11-Jun-19,"11-Jun-19, 12-Jun-19, 13-Jun-19, 14-Jun-19"
3,NA,5,15-3726-54565,"of the Woods, L.",NA, Walleye,49.32857,-94.50117,,,,Trend - nonrandom,219338.4,,,,2021,9,10,10-Sep-21,"01-Sep-21, 10-Sep-21, 11-Sep-21, 14-Sep-21, 15-Sep-21, 22-Sep-21, 23-Sep-21, 24-Sep-21, 25-Sep-21, 26-Aug-21, 26-Sep-21, 27-Aug-21, 27-Sep-21, 28-Aug-21, 30-Aug-21, 31-Aug-21"
3,NA,4,15-5349-56812,Grace L.,NA, Walleye,51.2872,-92.49861,,1491,1.3,Trend,475.7,4.1,10.8,19484044.59,2022,9,9,09-Sep-22,"09-Sep-22, 10-Sep-22, 11-Sep-22"
3,NA,5,15-4877-53939,Rainy L.,NA, Walleye,48.72662,-93.13074,23-May-18,,,Trend - nonrandom,68280.5,,,,2018,7,9,09-Jul-18,"04-Jul-18, 05-Jul-18, 06-Jul-18, 07-Jul-18, 08-Jul-18, 09-Jul-18, 17-Jul-18, 18-Jul-18, 19-Jul-18, 20-Jul-18, 21-Jul-18, 22-Jul-18, 22-Jun-18, 23-Jun-18, 24-Jun-18, 25-Jun-18, 26-Jun-18, 27-Jun-18"
3,NA,5,15-3467-55666,Winnipeg R.,NA, Walleye,50.24183,-95.15402,,,,Trend - nonrandom,62.9,,,,2023,8,9,09-Aug-23,"01-Aug-23, 09-Aug-23, 10-Aug-23, 11-Aug-23, 12-Aug-23, 13-Aug-23, 14-Aug-23, 27-Jul-23, 28-Jul-23, 29-Jul-23, 30-Jul-23, 31-Jul-23"
3,NA,4,15-6600-55380,Sturgeon L.,NA, Lake Trout,49.92729,-90.89686,27-May-19,1506,1.9,Trend,24047.8,13.6,93,2912127175,2019,7,6,06-Jul-19,"05-Jul-19, 06-Jul-19, 08-Jul-19, 09-Jul-19, 10-Jul-19"
3,NA,6,16-3488-53829,Penassen L.s,NA, Brook Trout,48.58443,-89.04505,,1447,3,Trend,41.2,2.7,14,1103654.57,2018,7,6,06-Jul-18,"04-Jul-18, 05-Jul-18"
