commonID,lat,long,samplingProgram,secchiDepth,maxDepth,yearSample,DOC,TDP,scaled_yearSample,scaled_secchi,scaled_maxDepth
Abram_1,50.05909,-91.92916,BsM,2.5,40,2022,11.1,12.85,21.9328125,-1.052297247,10.44151042
Amik_1,49.83026,-91.91356,BsM,1.8,20.4,2019,12,16.1,18.9328125,-1.752297247,-9.158489583
Arethusa_1,49.71847,-91.86176,BsM,2.3,18,2019,6.2,11.1,18.9328125,-1.252297247,-11.55848958
Bawden_1,49.99869,-91.58399,BsM,2,11,2019,13.4,16.25,18.9328125,-1.552297247,-18.55848958
Bell_1,49.80966,-90.93897,BsM,4,34.4,2022,5.049,6.815,21.9328125,0.447702753,4.841510417
Berens_1,51.75814,-93.71456,BsM,1,11.6,2022,15,40.35,21.9328125,-2.552297247,-17.95848958
Big Canon_1,50.06847,-93.75888,BsM,4,63,2022,6.389,9.63,21.9328125,0.447702753,33.44151042
Big Sandy_1,49.82359,-92.36295,BsM,3.1,41,2019,6.299,11,18.9328125,-0.452297247,11.44151042
Big Vermilion_1,50.04484,-92.20826,BsM,6,41,2021,4.679,11.13,20.9328125,2.447702753,11.44151042
Birch_2,51.39338,-92.37217,BsM,3.5,37,2019,7.099,8.199,18.9328125,-0.052297247,7.441510417
Botsford_1,50.13856,-91.6591,BsM,2.5,24,2022,11.8,14.5,21.9328125,-1.052297247,-5.558489583
Bury_1,50.43634,-91.3911,BsM,1.5,17,2019,10.8,10.199,18.9328125,-2.052297247,-12.55848958
Cecil_1,49.54021,-91.40065,BsM,3.4,24.4,2019,3.6,10.399,18.9328125,-0.152297247,-5.158489583
Clay_1,50.04611,-93.48572,BsM,0.9,21.9,2019,10.699,48.599,18.9328125,-2.652297247,-7.658489583
Cliff_1,50.16879,-93.29998,BsM,3.3,34.1,2019,6.2,10.199,18.9328125,-0.252297247,4.541510417
Confederation_1,51.11521,-92.67556,BsM,5.5,32.3,2021,6.519,9.025,20.9328125,1.947702753,2.741510417
Crystal_1,49.72882,-91.1675,BsM,1.5,4.6,2022,14.6,11.15,21.9328125,-2.052297247,-24.95848958
Delaney_1,50.09299,-94.048,BsM,5,81.4,2021,3.399,8.769,20.9328125,1.447702753,51.84151042
Fitchie_1,50.61813,-90.53714,BsM,1.8,19.2,2019,11.1,10.3,18.9328125,-1.752297247,-10.35848958
Gibraltar_1,50.0521,-91.07599,BsM,2,3,2019,12.5,10.85,18.9328125,-1.552297247,-26.55848958
Greenbush_1,50.95093,-90.10466,BsM,2.1,10,2021,10.4,7.099,20.9328125,-1.452297247,-19.55848958
Gullrock_1,50.96114,-93.64489,BsM,1.7,16,2019,9.8,20.6,18.9328125,-1.852297247,-13.55848958
Hartman_1,49.74941,-92.45084,BsM,3.5,8.2,2019,4.9,10.6,18.9328125,-0.052297247,-21.35848958
Indian_3,49.54834,-91.66632,BsM,2.1,36,2019,6,9.599,18.9328125,-1.452297247,6.441510417
Kukukus_1,49.7724,-91.68396,BsM,3,19.5,2021,7.139,14.85,20.9328125,-0.552297247,-10.05848958
Little Sandbar_1,49.45098,-91.54113,BsM,1.5,7,2019,6.2,11.8,18.9328125,-2.052297247,-22.55848958
Longlegged_1,50.78395,-94.17453,BsM,2.3,35.4,2021,8.5,15.5,20.9328125,-1.252297247,5.841510417
Mameigwess_1,49.55072,-91.82545,BsM,4,50,2019,2.25,7.15,18.9328125,0.447702753,20.44151042
Miniss_1,50.82132,-90.87326,BsM,1.7,39,2019,9.699,7.4,18.9328125,-1.852297247,9.441510417
Minnitaki_1,49.97183,-91.95802,BsM,2.5,44,2022,10,13.199,21.9328125,-1.052297247,14.44151042
Mold_1,50.09953,-92.6059,BsM,3,17,2022,8.49,9.494,21.9328125,-0.552297247,-12.55848958
Mud_1,49.57403,-91.89103,BsM,3,10.3,2019,3.839,8.859,18.9328125,-0.552297247,-19.25848958
Nungesser_1,51.47248,-93.53952,BsM,2.2,15.2,2019,10.4,15.699,18.9328125,-1.352297247,-14.35848958
Pakwash_1,50.74727,-93.50609,BsM,1.5,17.4,2019,11.3,22.399,18.9328125,-2.052297247,-12.15848958
Pashkokogan_1,50.98287,-90.30102,BsM,1.8,14.9,2019,8,8.199,18.9328125,-1.752297247,-14.65848958
Pelican_1,50.1115,-91.96123,BsM,4,36,2022,9.25,11.949,21.9328125,0.447702753,6.441510417
Penassi_1,49.95125,-91.19549,BsM,3,27.1,2021,9.869,11.1,20.9328125,-0.552297247,-2.458489583
Pikangikum_1,51.80217,-93.99622,BsM,0.5,21,2022,14.6,41.549,21.9328125,-3.052297247,-8.558489583
Press_1,49.79986,-91.50461,BsM,1.8,22,2019,11.3,14.199,18.9328125,-1.752297247,-7.558489583
Red_1,51.06421,-93.95704,BsM,2.8,42,2019,9.5,20.199,18.9328125,-0.752297247,12.44151042
Savant_1,50.4823,-90.42741,BsM,3,53,2019,6.299,6.5,18.9328125,-0.552297247,23.44151042
Selwyn_1,49.45958,-90.89168,BsM,1.7,9.8,2019,9,9.4,18.9328125,-1.852297247,-19.75848958
Seseganaga_1,50.06571,-90.35308,BsM,2.1,42.3,2019,7.2,6.5,18.9328125,-1.452297247,12.74151042
Shabu_1,51.31424,-92.93967,BsM,3,13.2,2022,9.009,10.949,21.9328125,-0.552297247,-16.35848958
Silcox_1,51.75362,-93.37461,BsM,1.5,6.1,2022,10.3,34.25,21.9328125,-2.052297247,-23.45848958
Silver_2,50.41174,-90.35324,BsM,1.8,10,2019,11.9,6.699,18.9328125,-1.752297247,-19.55848958
Singapore_1,50.16413,-91.26503,BsM,4,18.8,2019,10.3,10.15,18.9328125,0.447702753,-10.75848958
Smye_1,50.3698,-90.34435,BsM,1.6,21.1,2019,11.9,6.099,18.9328125,-1.952297247,-8.458489583
Sowden_1,49.54735,-91.20672,BsM,1.7,18.3,2019,10.1,9.9,18.9328125,-1.852297247,-11.25848958
Sup_1,50.30519,-93.55796,BsM,2,19.2,2021,8.38,19.899,20.9328125,-1.552297247,-10.35848958
Thaddeus_1,50.17463,-92.89251,BsM,3.5,16.2,2019,5.599,12.1,18.9328125,-0.052297247,-13.35848958
Tide_1,50.33775,-93.98355,BsM,1.5,30.5,2022,12,19.449,21.9328125,-2.052297247,0.941510417
Tom_1,50.03637,-94.06278,BsM,3,36,2022,7.559,6.719,21.9328125,-0.552297247,6.441510417
Victoria_2,49.62381,-91.54686,BsM,4,28.1,2019,6.03,8.529,18.9328125,0.447702753,-1.458489583
Wabaskang_1,50.38864,-93.22539,BsM,2.8,28.7,2019,7.4,18.699,18.9328125,-0.752297247,-0.858489583
Wapesi_1,50.54216,-92.33631,BsM,1.1,9.2,2019,15.4,23.2,18.9328125,-2.452297247,-20.35848958
Wavell_1,51.5779,-92.69876,BsM,2,23,2022,14.4,16.199,21.9328125,-1.552297247,-6.558489583
Whitemud_1,50.8448,-92.73259,BsM,1,15.6,2021,18.899,16.899,20.9328125,-2.552297247,-13.95848958
Cross_2,49.96489,-94.23609,BsM,3.5,26.2,2022,7.419,7.714,21.9328125,-0.052297247,-3.358489583
Daniels_1,49.92424,-93.85166,BsM,6.5,78.6,2022,3.859,4.344,21.9328125,2.947702753,49.04151042
Dinorwic_1,49.62051,-92.56305,BsM,2,10,2021,11.699,18.05,20.9328125,-1.552297247,-19.55848958
Edward_1,49.9464,-93.55602,BsM,2,7.9,2022,8.5,26.05,21.9328125,-1.552297247,-21.65848958
Godson_1,49.60903,-92.76425,BsM,1.5,6.1,2021,12.9,20,20.9328125,-2.052297247,-23.45848958
Lawrence_1,49.27504,-93.36566,BsM,4,76.2,2023,8.24,6.695,22.9328125,0.447702753,46.64151042
Lower Manitou_1,49.27811,-92.94807,BsM,7,81,2023,5.059,6.644,22.9328125,3.447702753,51.44151042
