monitoring_location_name,activity_start_date,activity_depth_height_unit,sample_collection_equipment_name,characteristic_name,method_speciation,result_value,result_unit,result_detection_quantitation_limit_measure,result_detection_condition,result_analytical_method_instrument
223 LA CB,1974-05-22,epi,,CA,as Ca,2.01,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-05-22,epi,,CHLA,,1.8,ug/L,0.01,,Fluorometric-Method
223 LA CB,1974-05-22,epi,,DOC,as C,303,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-05-22,epi,,NA,as Na,1.05,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-05-22,epi,,NO3,as NO3-N,58,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1974-05-22,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1974-05-22,epi,,TDN,as N,235,ug/L,5,,Photocombustion
223 LA CB,1974-05-22,epi,,TDP,as P,4,ug/L,1,,Photocombustion
223 LA CB,1974-06-19,epi,,CA,as Ca,2.08,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-06-19,epi,,CHLA,,1.9,ug/L,0.01,,Fluorometric-Method
223 LA CB,1974-06-19,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
223 LA CB,1974-06-19,epi,,DIC,as Total CO2,112,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-06-19,epi,,DOC,as C,415,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-06-19,epi,,NA,as Na,0.96,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-06-19,epi,,NO3,as NO3-N,12,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1974-06-19,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
223 LA CB,1974-06-19,epi,,PH,,6.5,SU,#N/A,,pH Meter
223 LA CB,1974-06-19,epi,,TDN,as N,294,ug/L,5,,Photocombustion
223 LA CB,1974-06-19,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1974-07-17,epi,,CA,as Ca,2.3,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-07-17,epi,,CHLA,,2.8,ug/L,0.01,,Fluorometric-Method
223 LA CB,1974-07-17,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
223 LA CB,1974-07-17,epi,,DIC,as Total CO2,126,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-07-17,epi,,DOC,as C,207,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-07-17,epi,,NA,as Na,0.94,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-07-17,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1974-07-17,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1974-07-17,epi,,PH,,6.73,SU,#N/A,,pH Meter
223 LA CB,1974-07-17,epi,,TDN,as N,221,ug/L,5,,Photocombustion
223 LA CB,1974-07-17,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1974-08-14,epi,,CA,as Ca,2.29,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-08-14,epi,,CHLA,,1.6,ug/L,0.01,,Fluorometric-Method
223 LA CB,1974-08-14,epi,,COND,,21,uS/cm,1,,Radiometer CDM 3
223 LA CB,1974-08-14,epi,,DIC,as Total CO2,116,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-08-14,epi,,DOC,as C,361,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-08-14,epi,,NA,as Na,0.97,mg/L,0.01,,Atomic-Absorption
