lakeName,latARU,latBsM,longARU,longBsM,latD_aru,latM1_aru,latM2_aru,latD_BsM,latM1_BsM,latM2_BsM,longD_aru,longM1_aru,longM2_aru,longD_BsM,longM1_BsM,longM2_BsM,ARU_LID,bsmWaterbodyID
Aaron,470424,49.83128,792801,-93.50248,47,0,4,49,8,3,79,2,8,93,5,0,17-6164-52142,15-4640-55200
Abbess,484049,48.67977,914058,-91.68384,48,4,0,48,6,7,91,4,0,91,6,8,15-5970-53925,15-5970-53925
Abigogami,485958,48.99719,884906,-88.82025,48,5,9,48,9,9,88,4,9,88,8,2,16-3670-54288,16-3670-54288
Abitibi,483930,48.65805,795042,-79.84475,48,3,9,48,6,5,79,5,0,79,8,4,17-5850-53899,17-5851-53899
Abram,494537,50.05909,841426,-91.92916,49,4,5,50,0,5,84,1,4,91,9,2,16-6987-55154,15-5765-55453
Abram,500326,50.05909,915554,-91.92916,50,0,3,50,0,5,91,5,5,91,9,2,15-5765-55453,15-5765-55453
Achigan,465507,46.91679,841148,-84.19601,46,5,5,46,9,1,84,1,1,84,1,9,16-7135-51997,16-7134-51997
Addie,480959,48.16665,902552,-90.42954,48,0,9,48,1,6,90,2,5,90,4,2,15-6910-53378,15-6910-53378
Adelaide,465903,47.05965,803840,-84.31112,46,5,9,47,0,5,80,3,8,84,3,1,17-5270-52032,16-7046-52151
Adelaide,470336,47.05965,841819,-84.31112,47,0,3,47,0,5,84,1,8,84,3,1,16-7046-52151,16-7046-52151
Agnes,481453,48.22804,912043,-91.35112,48,1,4,48,2,2,91,2,0,91,3,5,15-6229-53450,15-6228-53450
Agnew,462119,46.36526,814540,-81.75464,46,2,1,46,3,6,81,4,5,81,7,5,17-4414-51336,17-4414-51336
Ahmic,453746,45.63437,794106,-79.69545,45,3,7,45,6,3,79,4,1,79,6,9,17-6025-50535,17-6025-50535
Aileen,465243,46.87867,800105,-80.01783,46,5,2,46,8,7,80,0,1,80,0,1,17-5748-51919,17-5748-51919
Alder,432117,44.86839,803216,-78.14583,43,2,1,44,8,6,80,3,2,78,1,4,17-5375-48001,17-7255-49721
Alder,445206,44.86839,780846,-78.14583,44,5,2,44,8,6,78,0,8,78,1,4,17-7254-49721,17-7255-49721
Alder,500636,44.86839,922759,-78.14583,50,0,6,44,8,6,92,2,7,78,1,4,15-5381-55508,17-7255-49721
Alexander,460656,46.58727,814930,-82.54121,46,0,6,46,5,8,81,4,9,82,5,4,17-4362-51070,17-3812-51598
Alexander,462800,46.58727,785554,-82.54121,46,2,8,46,5,8,78,5,5,82,5,4,17-6588-51477,17-3812-51598
Alexander,473638,46.58727,802312,-82.54121,47,3,6,46,5,8,80,2,3,82,5,4,17-5461-52730,17-3812-51598
Alexander,481724,46.58727,803501,-82.54121,48,1,7,46,5,8,80,3,5,82,5,4,17-5309-53484,17-3812-51598
Amik,494950,49.83026,915444,-91.91356,49,4,9,49,8,3,91,5,4,91,9,1,15-5782-55201,15-5782-55201
Andy,493745,49.62961,940510,-94.08984,49,3,7,49,6,2,94,0,5,94,0,8,15-4216-54977,15-4216-54977
Andy,NA,49.62961,NA,-94.08984,NA,NA,NA,49,6,2,NA,NA,NA,94,0,8,17-4781-54696,15-4216-54977
Anima Nipissing,471534,47.25951,795423,-79.90616,47,1,5,47,2,5,79,5,4,79,9,0,17-5827-52344,17-5827-52344
Anishinabi,502612,50.43988,932735,-93.44327,50,2,6,50,4,3,93,2,7,93,4,4,15-4673-55871,15-4674-55871
Anvil,470415,47.07089,833037,-83.51018,47,0,4,47,0,7,83,3,0,83,5,1,17-3094-52159,17-3094-52159
Anvil,470415,47.42262,833037,-80.26691,47,0,4,47,4,2,83,3,0,80,2,6,17-3094-52159,17-5552-52523
Anvil,472527,47.07089,801606,-83.51018,47,2,5,47,0,7,80,1,6,83,5,1,17-5552-52523,17-3094-52159
Anvil,472527,47.42262,801606,-80.26691,47,2,5,47,4,2,80,1,6,80,2,6,17-5552-52523,17-5552-52523
Arbuckle,452220,45.37262,784910,-78.81965,45,2,2,45,3,7,78,4,9,78,8,1,17-6708-50264,17-6707-50264
Arethusa,494339,49.71847,915020,-91.86176,49,4,3,49,7,1,91,5,0,91,8,6,15-5837-55088,15-5837-55088
Argo,481525,48.25397,914814,-91.80679,48,1,5,48,2,5,91,4,8,91,8,0,15-5888-53453,15-5888-53453
Armstrong,453044,45.51245,795502,-79.91693,45,3,0,45,5,1,79,5,5,79,9,1,17-5846-50402,17-5846-50402
Armstrong,460152,45.51245,791206,-79.91693,46,0,1,45,5,1,79,1,2,79,9,1,17-6392-50989,17-5846-50402
Armstrong,463151,45.51245,813424,-79.91693,46,3,1,45,5,1,81,3,4,79,9,1,17-4560-51530,17-5846-50402
Armstrong,480518,45.51245,821230,-79.91693,48,0,5,45,5,1,82,1,2,79,9,1,17-4100-53266,17-5846-50402
Armstrong,495801,45.51245,942241,-79.91693,49,5,8,45,5,1,94,2,2,79,9,1,15-4012-55356,17-5846-50402
Arnott,493558,49.09594,843622,-88.95538,49,3,5,49,0,9,84,3,6,88,9,5,16-6730-54966,16-3577-54402
Arrow,461058,48.15855,782826,-90.26498,46,1,0,48,1,5,78,2,8,90,2,6,17-6950-51172,15-7025-53379
Arrow,480951,48.15855,901634,-90.26498,48,0,9,48,1,5,90,1,6,90,2,6,15-7025-53379,15-7025-53379
Arrow,482323,48.15855,804646,-90.26498,48,2,3,48,1,5,80,4,6,90,2,6,17-5163-53594,15-7025-53379
Arrow,491855,48.15855,942541,-90.26498,49,1,8,48,1,5,94,2,5,90,2,6,15-3962-54633,15-7025-53379
Arrow,500309,48.15855,900221,-90.26498,50,0,3,48,1,5,90,0,2,90,2,6,15-7119-55485,15-7025-53379
Arthur,463554,48.27894,832229,-80.45989,46,3,5,48,2,7,83,2,2,80,4,5,17-3181-51630,17-5396-53477
Astonish,463351,46.56531,825102,-82.85482,46,3,3,46,5,6,82,5,1,82,8,5,17-3582-51582,17-3582-51582
Athelstane,484623,48.77457,901235,-90.20796,48,4,6,48,7,7,90,1,2,90,2,0,15-7050-54058,15-7050-54058
Atik,481239,48.21094,901038,-90.17813,48,1,2,48,2,1,90,1,0,90,1,7,15-7097-53434,15-7097-53434
Atikwa,492753,49.49768,933255,-93.53348,49,2,7,49,4,9,93,3,2,93,5,3,15-4603-54790,15-4602-54790
Aubrey,452936,46.90546,782034,-83.18616,45,2,9,46,9,0,78,2,0,83,1,8,17-7076-50410,17-3340-51953
Aubrey,465334,46.90546,831044,-83.18616,46,5,3,46,9,0,83,1,0,83,1,8,17-3340-51953,17-3340-51953
Aubrey,494554,46.90546,925929,-83.18616,49,4,5,46,9,0,92,5,9,83,1,8,15-5006-55123,17-3340-51953
Augite,495147,49.8623,934251,-93.71668,49,5,1,49,8,6,93,4,2,93,7,1,15-4487-55234,15-4487-55234
Avery,451143,47.14395,784846,-81.23287,45,1,1,47,1,4,78,4,8,81,2,3,17-6718-50068,17-4823-52210
Avery,470838,47.14395,811359,-81.23287,47,0,8,47,1,4,81,1,3,81,2,3,17-4823-52210,17-4823-52210
Avery,494059,47.14395,922247,-81.23287,49,4,0,47,1,4,92,2,2,81,2,3,15-5448-55034,17-4823-52210
Aylen,453648,45.61836,775055,-77.85586,45,3,6,45,6,1,77,5,0,77,8,5,18-2779-50548,18-2779-50548
Bad Vermilion,484406,48.72571,924047,-92.68243,48,4,4,48,7,2,92,4,0,92,6,8,15-5235-53978,15-5236-53978
Bain,462822,46.47284,800044,-80.01199,46,2,8,46,4,7,80,0,0,80,0,1,17-5758-51468,17-5758-51468
Bain,462822,50.47745,800044,-95.05374,46,2,8,50,4,7,80,0,0,95,0,5,17-5758-51468,15-3545-55924
Balsam,443501,45.9177,785038,-80.14503,44,3,5,45,9,1,78,5,0,80,1,4,17-6712-49388,17-5664-50851
Balsam,443501,44.58044,785038,-78.84168,44,3,5,44,5,8,78,5,0,78,8,4,17-6712-49388,17-6712-49387
Balsam,455506,45.9177,800838,-80.14503,45,5,5,45,9,1,80,0,8,80,1,4,17-5664-50851,17-5664-50851
Balsam,455506,44.58044,800838,-78.84168,45,5,5,44,5,8,80,0,8,78,8,4,17-5664-50851,17-6712-49387
Banner,450146,47.79376,775233,-81.00072,45,0,1,47,7,9,77,5,2,81,0,0,18-2735-49900,17-4999-52930
Banner,474733,47.79376,810005,-81.00072,47,4,7,47,7,9,81,0,0,81,0,0,17-4999-52930,17-4999-52930
Baptiste,450557,45.11648,775947,-78.00344,45,0,5,45,1,1,77,5,9,78,0,0,18-2642-49981,18-2642-49981
Barbara,471628,49.34384,841958,-87.80103,47,1,6,49,3,4,84,1,9,87,8,0,16-7017-52389,16-4420-54651
Barbara,484645,49.34384,855140,-87.80103,48,4,6,49,3,4,85,5,1,87,8,0,16-5837-54033,16-4420-54651
Barbara,492017,49.34384,874754,-87.80103,49,2,0,49,3,4,87,4,7,87,8,0,16-4420-54651,16-4420-54651
Baril,484457,48.75029,904518,-90.75708,48,4,4,48,7,5,90,4,5,90,7,5,15-6650-54018,15-6650-54018
Bark,445554,46.91066,782800,-82.46795,44,5,5,46,9,1,78,2,8,82,4,6,17-6999-49783,17-3874-51976
Bark,445554,45.4552,782800,-77.84943,44,5,5,45,4,5,78,2,8,77,8,4,17-6999-49783,18-2782-50364
Bark,452652,46.91066,775010,-82.46795,45,2,6,46,9,1,77,5,0,82,4,6,18-2782-50364,17-3874-51976
Bark,452652,45.4552,775010,-77.84943,45,2,6,45,4,5,77,5,0,77,8,4,18-2782-50364,18-2782-50364
Bark,465529,46.91066,822843,-82.46795,46,5,5,46,9,1,82,2,8,82,4,6,17-3874-51977,17-3874-51976
Bark,465529,45.4552,822843,-77.84943,46,5,5,45,4,5,82,2,8,77,8,4,17-3874-51977,18-2782-50364
Barrel,493913,49.65928,913127,-91.53454,49,3,9,49,6,5,91,3,1,91,5,3,15-6065-55009,15-6065-55009
Bass,445218,45.89079,791229,-81.94665,44,5,2,45,8,9,79,1,2,81,9,4,17-6416-49700,17-4263-50813
Bass,445218,44.60345,791229,-79.50664,44,5,2,44,6,0,79,1,2,79,5,0,17-6416-49700,17-6187-49397
Bass,444029,45.89079,783209,-81.94665,44,4,0,45,8,9,78,3,2,81,9,4,17-6953-49496,17-4263-50813
Bass,444029,44.60345,783209,-79.50664,44,4,0,44,6,0,78,3,2,79,5,0,17-6953-49496,17-6187-49397
Bass,443412,45.89079,760409,-81.94665,44,3,4,45,8,9,76,0,4,81,9,4,18-4151-49355,17-4263-50813
Bass,443412,44.60345,760409,-79.50664,44,3,4,44,6,0,76,0,4,79,5,0,18-4151-49355,17-6187-49397
Bass,444905,45.89079,760837,-81.94665,44,4,9,45,8,9,76,0,8,81,9,4,18-4096-49632,17-4263-50813
Bass,444905,44.60345,760837,-79.50664,44,4,9,44,6,0,76,0,8,79,5,0,18-4096-49632,17-6187-49397
Bass,443047,45.89079,763939,-81.94665,44,3,0,45,8,9,76,3,9,81,9,4,18-3680-49300,17-4263-50813
Bass,443047,44.60345,763939,-79.50664,44,3,0,44,6,0,76,3,9,79,5,0,18-3680-49300,17-6187-49397
Bass,443609,45.89079,793016,-81.94665,44,3,6,45,8,9,79,3,0,81,9,4,17-6187-49397,17-4263-50813
Bass,443609,44.60345,793016,-79.50664,44,3,6,44,6,0,79,3,0,79,5,0,17-6187-49397,17-6187-49397
Bass,444232,45.89079,805954,-81.94665,44,4,2,45,8,9,80,5,9,81,9,4,17-5001-49504,17-4263-50813
Bass,444232,44.60345,805954,-79.50664,44,4,2,44,6,0,80,5,9,79,5,0,17-5001-49504,17-6187-49397
Bass,450629,45.89079,794154,-81.94665,45,0,6,45,8,9,79,4,1,81,9,4,17-6024-49956,17-4263-50813
Bass,450629,44.60345,794154,-79.50664,45,0,6,44,6,0,79,4,1,79,5,0,17-6024-49956,17-6187-49397
Bass,461316,45.89079,825353,-81.94665,46,1,3,45,8,9,82,5,3,81,9,4,17-3536-51201,17-4263-50813
Bass,461316,44.60345,825353,-79.50664,46,1,3,44,6,0,82,5,3,79,5,0,17-3536-51201,17-6187-49397
Bass,460721,45.89079,794759,-81.94665,46,0,7,45,8,9,79,4,7,81,9,4,17-5927-51081,17-4263-50813
Bass,460721,44.60345,794759,-79.50664,46,0,7,44,6,0,79,4,7,79,5,0,17-5927-51081,17-6187-49397
Bass,472133,45.89079,794304,-81.94665,47,2,1,45,8,9,79,4,3,81,9,4,17-5968-52457,17-4263-50813
Bass,472133,44.60345,794304,-79.50664,47,2,1,44,6,0,79,4,3,79,5,0,17-5968-52457,17-6187-49397
Bass,483924,45.89079,884408,-81.94665,48,3,9,45,8,9,88,4,4,81,9,4,16-3722-53905,17-4263-50813
Bass,483924,44.60345,884408,-79.50664,48,3,9,44,6,0,88,4,4,79,5,0,16-3722-53905,17-6187-49397
Bass,NA,45.89079,NA,-81.94665,NA,NA,NA,45,8,9,NA,NA,NA,81,9,4,17-4719-52331,17-4263-50813
Bass,NA,44.60345,NA,-79.50664,NA,NA,NA,44,6,0,NA,NA,NA,79,5,0,17-4719-52331,17-6187-49397
Bass,NA,45.89079,NA,-81.94665,NA,NA,NA,45,8,9,NA,NA,NA,81,9,4,18-3580-49555,17-4263-50813
Bass,NA,44.60345,NA,-79.50664,NA,NA,NA,44,6,0,NA,NA,NA,79,5,0,18-3580-49555,17-6187-49397
Basswood,NA,46.33314,NA,-83.39658,NA,NA,NA,46,3,3,NA,NA,NA,83,3,9,17-3164-51328,17-3164-51328
Batwing,482624,48.44209,901022,-90.17355,48,2,6,48,4,4,90,1,0,90,1,7,15-7091-53689,15-7091-53688
Bawden,495926,49.99869,913522,-91.58399,49,5,9,49,9,9,91,3,5,91,5,8,15-6011-55383,15-6011-55383
Bay,450125,46.42728,775124,-82.9196,45,0,1,46,4,2,77,5,1,82,9,1,18-2749-49893,17-3525-51431
Bay,450125,47.34738,775124,-79.83923,45,0,1,47,3,4,77,5,1,79,8,3,18-2749-49893,17-5880-52436
Bay,453020,46.42728,791229,-82.9196,45,3,0,46,4,2,79,1,2,82,9,1,17-6400-50405,17-3525-51431
Bay,453020,47.34738,791229,-79.83923,45,3,0,47,3,4,79,1,2,79,8,3,17-6400-50405,17-5880-52436
Bay,462538,46.42728,825511,-82.9196,46,2,5,46,4,2,82,5,5,82,9,1,17-3525-51431,17-3525-51431
Bay,462538,47.34738,825511,-79.83923,46,2,5,47,3,4,82,5,5,79,8,3,17-3525-51431,17-5880-52436
Bay,472030,46.42728,795007,-82.9196,47,2,0,46,4,2,79,5,0,82,9,1,17-5880-52436,17-3525-51431
Bay,472030,47.34738,795007,-79.83923,47,2,0,47,3,4,79,5,0,79,8,3,17-5880-52436,17-5880-52436
Bay,493616,46.42728,821929,-82.9196,49,3,6,46,4,2,82,1,9,82,9,1,17-4043-54953,17-3525-51431
Bay,493616,47.34738,821929,-79.83923,49,3,6,47,3,4,82,1,9,79,8,3,17-4043-54953,17-5880-52436
Beak,471227,47.21363,830908,-83.14591,47,1,2,47,2,1,83,0,9,83,1,4,17-3370-52303,17-3370-52303
Beak,491653,47.21363,921517,-83.14591,49,1,6,47,2,1,92,1,5,83,1,4,15-5542-54588,17-3370-52303
Bear,442945,46.18806,762958,-81.44897,44,2,9,46,1,8,76,2,9,81,4,4,18-3808-49278,17-4652-51149
Bear,442945,46.3314,762958,-80.25596,44,2,9,46,3,3,76,2,9,80,2,5,18-3808-49278,17-5577-51311
Bear,443343,46.18806,762910,-81.44897,44,3,3,46,1,8,76,2,9,81,4,4,18-3820-49351,17-4652-51149
Bear,443343,46.3314,762910,-80.25596,44,3,3,46,3,3,76,2,9,80,2,5,18-3820-49351,17-5577-51311
Bear,443610,46.18806,765535,-81.44897,44,3,6,46,1,8,76,5,5,81,4,4,18-3471-49404,17-4652-51149
Bear,443610,46.3314,765535,-80.25596,44,3,6,46,3,3,76,5,5,80,2,5,18-3471-49404,17-5577-51311
Bear,452026,46.18806,784229,-81.44897,45,2,0,46,1,8,78,4,2,81,4,4,17-6796-50231,17-4652-51149
Bear,452026,46.3314,784229,-80.25596,45,2,0,46,3,3,78,4,2,80,2,5,17-6796-50231,17-5577-51311
Bear,452629,46.18806,793509,-81.44897,45,2,6,46,1,8,79,3,5,81,4,4,17-6106-50327,17-4652-51149
Bear,452629,46.3314,793509,-80.25596,45,2,6,46,3,3,79,3,5,80,2,5,17-6106-50327,17-5577-51311
