BsM_Cycle,FMZ,lakeName,waterbodyID,secchiDepth,surfaceArea,lakeVolume,maxDepth,meanDepth,lat,long,yearSample,COLTR (TCU),pH,cond,alk,Ca,MGUT (mg/L),Na,KKUT (mg/L),CLIDUR (mg/L),SSO4UR (mg/L),SIO3UR (mg/L),FEUT,DIC,DOC,NNHTUR (mg/L),NNOTUR (ug/L),TKN,TDP,dateSample,NtoPratio,commonID,F0,FOFWBY,WBY,WBY2,ARU,ARU_NM,ARU_LID,LATITUDE,LONGITUDE,WSHED,GEOTWP,GEOTWP_NM,SRFAREA,PERIM,ISL,DEPMN,LIT_PC,ELEV,GDD,TDS,MEI,CROWN_PC,RSRT_CNT,COTT_CNT,FCT,SPECIES,SPC_080,SPC_081,SPC_091,SPC_093,SPC_131,SPC_132,SPC_316,SPC_331,SPC_332,SPC_334,latDirection,lonDirection,logTP,TP,lakeTrophicStatus,scaled_yearSample,scaled_secchi,scaled_maxDepth,samplingProgram,secchi_fit,secchi_fitWRand,rowID,updatedDOC,DOC_fit,DOC_fitWRandom
3,4,Abram L.,15-5765-55453,2.5,2438.5,325790362.5,40,13.4,50.05909,-91.92916,2022,75.299,7.25,74.4,27.199,10.699,2.25,0.915,0.623,0.426,2.95,1.78,112,7.379,11.1,10,86.7,370,12.85,NA,NA,Abram_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.919228764981654,-0.9416001637757527,10.434080250130275,BsM,3.071106888042308,2.615405111157687,1,11.1,6.552792211132021,9.393111568800222
3,4,Amik L.,15-5782-55201,1.8,1161.6,63260997.31,20.4,5.5,49.83026,-91.91356,2019,66.2,7.269,53.6,22.899,6.839,1.98,1.28,0.555,0.23,1.1,1.84,130,4.74,12,42,26,398,16.1,NA,NA,Amik_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.6416001637757527,-9.165919749869726,BsM,3.077620449528686,1.9256043135165697,2,12,6.550932609740408,14.106138838496872
3,4,Arethusa L.,15-5837-55088,2.3,767.9,48496399.26,18,6.2,49.71847,-91.86176,2019,20.8,7.29,45,19.899,5.4,1.34,1.26,0.54,0.18,1.35,1.12,60,4.059,6.2,36,2,283,11.1,NA,NA,Arethusa_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.141600163775753,-11.565919749869725,BsM,3.077620449528686,2.2828987912870393,3,6.2,6.550932609740408,7.056238383414062
3,4,Bawden L.,15-6011-55383,2,376.2,13120600.16,11,3.4,49.99869,-91.58399,2019,97.7,7.099,51.299,21.3,6.929,1.84,0.843,0.674,0.201,0.621,1.69,177,5.49,13.4,14.5,103,470,16.25,NA,NA,Bawden_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.4416001637757527,-18.565919749869725,BsM,3.077620449528686,2.022992951619765,4,13.4,6.550932609740408,14.391754467479464
3,4,Bell L.,15-6500-55194,4,4161.8,396112009.3,34.4,9.5,49.80966,-90.93897,2022,16,7.04,44.5,18.8,6.21,0.189,0.781,0.522,0.147,1.449,0.93,30,4.799,5.049,10,44.1,270,6.815,NA,NA,Bell_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.919228764981654,0.5583998362242473,4.834080250130274,BsM,3.071106888042308,4.1414602647792575,5,5.049,6.552792211132021,5.900700088159229
3,4,Berens L.,15-4525-57350,1,2661.7,131148790.1,11.6,4.7,51.75814,-93.71456,2022,146,7.04,44.2,20.1,6.41,1.73,0.752,0.719,0.137,0.464,2.21,620,4.5,15,10,44.299,430,40.35,NA,NA,Berens_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.919228764981654,-2.4416001637757527,-17.965919749869727,BsM,3.071106888042308,1.099183842730401,6,15,6.552792211132021,15.87790106143961
3,4,Big Canon L.,15-4455-55462,4,2089.2,451307120.9,63,21.6,50.06847,-93.75888,2022,19.699,7.08,45.2,19.3,4.849,1.659,1.129,0.689,0.194,1.86,0.48,49,4.61,6.389,10,30.899,280,9.63,NA,NA,Big Canon_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.919228764981654,0.5583998362242473,33.43408025013028,BsM,3.071106888042308,3.5548285964146817,7,6.389,6.552792211132021,6.201191722127639
3,4,Big Sandy L.,15-5463-55189,3.1,3808.1,775500560.9,41,20.3,49.82359,-92.36295,2019,16,7.889,143,66.2,19.6,4.36,2.64,1.09,2.27,2.399,1.08,30,15.199,6.299,26,18,282,11,NA,NA,Big Sandy_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-0.34160016377575264,11.434080250130275,BsM,3.077620449528686,3.081746718795101,8,6.299,6.550932609740408,6.706208653739064
3,4,Big Vermilion L.,15-5556-55428,6,6900.5,871168593.9,41,12.6,50.04484,-92.20826,2021,14.9,7.62,131,60.5,18.899,3.569,1.449,0.896,0.452,2.23,1.889,30,15.1,4.679,10,28.199,220,11.13,NA,NA,Big Vermilion_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.919228764981654,2.5583998362242473,11.434080250130275,BsM,3.073276542041572,4.748520180134527,9,4.679,6.552172285355361,4.804180245559975
3,4,Birch L.,15-5452-56951,3.5,11623.4,874916825.7,37,7.4,51.39338,-92.37217,2019,22.399,7.4,57.2,25.8,8.859,1.34,0.59,0.515,0.14,1.2,0.78,30,5.9,7.099,26,2,261,8.199,NA,NA,Birch_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,0.05839983622424727,7.434080250130275,BsM,3.077620449528686,3.4548437201511133,10,7.099,6.550932609740408,8.317856466634804
3,4,Botsford L.,15-5970-55554,2.5,1472.6,99070208.44,24,6.7,50.13856,-91.6591,2022,88,7.25,68.599,29.3,9.98,2.169,0.855,0.617,0.334,2.62,1.76,176,6.58,11.8,10,88.7,420,14.5,NA,NA,Botsford_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.919228764981654,-0.9416001637757527,-5.565919749869725,BsM,3.071106888042308,2.409465214309592,11,11.8,6.552792211132021,10.946618013235872
3,4,Bury L.,15-6143-55885,1.5,473.8,33271801.3,17,6.9,50.43634,-91.3911,2019,65.099,7.519,78.299,36.2,10.8,2.64,0.785,0.67,0.24,1.149,2,70,7.66,10.8,36,48,343,10.199,NA,NA,Bury_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.9416001637757527,-12.565919749869725,BsM,3.077620449528686,2.055109805217513,12,10.8,6.550932609740408,12.098041364769273
