lakeName,latARU_conv,latBsM,longARU_conv,longBsM,latD_aru,latM1_aru,latM2_aru,latD_BsM,latM1_BsM,latM2_BsM,longD_aru,longM1_aru,longM2_aru,longD_BsM,longM1_BsM,longM2_BsM,ARU_LID,bsmWaterbodyID,latARU,longARU,latM_aru,latS_aru,latDirection,lonD_aru,lonM_aru,lonS_aru,lonDirection
Aaron,47.07333333333334,49.83128,-79.46694444444445,-93.50248,47,0,4,49,8,3,79,2,8,93,5,0,17-6164-52142,15-4640-55200,470424,792801,4,24,N,79,28,1,W
Abbess,48.680277777777775,48.67977,-91.68277777777779,-91.68384,48,4,0,48,6,7,91,4,0,91,6,8,15-5970-53925,15-5970-53925,484049,914058,40,49,N,91,40,58,W
Abigogami,48.99944444444444,48.99719,-88.81833333333333,-88.82025,48,5,9,48,9,9,88,4,9,88,8,2,16-3670-54288,16-3670-54288,485958,884906,59,58,N,88,49,6,W
Abitibi,48.65833333333333,48.65805,-79.845,-79.84475,48,3,9,48,6,5,79,5,0,79,8,4,17-5850-53899,17-5851-53899,483930,795042,39,30,N,79,50,42,W
Abram,49.76027777777778,50.05909,-84.24055555555556,-91.92916,49,4,5,50,0,5,84,1,4,91,9,2,16-6987-55154,15-5765-55453,494537,841426,45,37,N,84,14,26,W
Abram,50.05722222222222,50.05909,-91.93166666666667,-91.92916,50,0,3,50,0,5,91,5,5,91,9,2,15-5765-55453,15-5765-55453,500326,915554,3,26,N,91,55,54,W
Achigan,46.91861111111111,46.91679,-84.19666666666667,-84.19601,46,5,5,46,9,1,84,1,1,84,1,9,16-7135-51997,16-7134-51997,465507,841148,55,7,N,84,11,48,W
Addie,48.16638888888889,48.16665,-90.43111111111112,-90.42954,48,0,9,48,1,6,90,2,5,90,4,2,15-6910-53378,15-6910-53378,480959,902552,9,59,N,90,25,52,W
Adelaide,46.98416666666667,47.05965,-80.64444444444445,-84.31112,46,5,9,47,0,5,80,3,8,84,3,1,17-5270-52032,16-7046-52151,465903,803840,59,3,N,80,38,40,W
Adelaide,47.059999999999995,47.05965,-84.30527777777777,-84.31112,47,0,3,47,0,5,84,1,8,84,3,1,16-7046-52151,16-7046-52151,470336,841819,3,36,N,84,18,19,W
Agnes,48.24805555555556,48.22804,-91.34527777777777,-91.35112,48,1,4,48,2,2,91,2,0,91,3,5,15-6229-53450,15-6228-53450,481453,912043,14,53,N,91,20,43,W
Agnew,46.35527777777778,46.36526,-81.7611111111111,-81.75464,46,2,1,46,3,6,81,4,5,81,7,5,17-4414-51336,17-4414-51336,462119,814540,21,19,N,81,45,40,W
Ahmic,45.629444444444445,45.63437,-79.685,-79.69545,45,3,7,45,6,3,79,4,1,79,6,9,17-6025-50535,17-6025-50535,453746,794106,37,46,N,79,41,6,W
Aileen,46.87861111111111,46.87867,-80.01805555555555,-80.01783,46,5,2,46,8,7,80,0,1,80,0,1,17-5748-51919,17-5748-51919,465243,800105,52,43,N,80,1,5,W
Alder,43.35472222222222,44.86839,-80.53777777777778,-78.14583,43,2,1,44,8,6,80,3,2,78,1,4,17-5375-48001,17-7255-49721,432117,803216,21,17,N,80,32,16,W
Alder,44.86833333333333,44.86839,-78.14611111111111,-78.14583,44,5,2,44,8,6,78,0,8,78,1,4,17-7254-49721,17-7255-49721,445206,780846,52,6,N,78,8,46,W
Alder,50.11,44.86839,-92.46638888888889,-78.14583,50,0,6,44,8,6,92,2,7,78,1,4,15-5381-55508,17-7255-49721,500636,922759,6,36,N,92,27,59,W
Alexander,46.11555555555556,46.58727,-81.825,-82.54121,46,0,6,46,5,8,81,4,9,82,5,4,17-4362-51070,17-3812-51598,460656,814930,6,56,N,81,49,30,W
Alexander,46.46666666666667,46.58727,-78.93166666666667,-82.54121,46,2,8,46,5,8,78,5,5,82,5,4,17-6588-51477,17-3812-51598,462800,785554,28,0,N,78,55,54,W
Alexander,47.61055555555556,46.58727,-80.38666666666667,-82.54121,47,3,6,46,5,8,80,2,3,82,5,4,17-5461-52730,17-3812-51598,473638,802312,36,38,N,80,23,12,W
Alexander,48.29,46.58727,-80.58361111111111,-82.54121,48,1,7,46,5,8,80,3,5,82,5,4,17-5309-53484,17-3812-51598,481724,803501,17,24,N,80,35,1,W
Amik,49.830555555555556,49.83026,-91.91222222222223,-91.91356,49,4,9,49,8,3,91,5,4,91,9,1,15-5782-55201,15-5782-55201,494950,915444,49,50,N,91,54,44,W
Andy,49.62916666666667,49.62961,-94.08611111111111,-94.08984,49,3,7,49,6,2,94,0,5,94,0,8,15-4216-54977,15-4216-54977,493745,940510,37,45,N,94,5,10,W
