FMZ,lakeName,lakeID,lat,long,bsmCycle,pelagicPrey,mysis,sampleGroup,lakeClass,area,maxDepth,speciesPresent,otherPelagicPredator,comments
,20,L20,49.134722,92.206111,,A,P,Coldwater Lakes,1.5,64,32,,,
,26,L26,49.132778,92.2075,,A,P,Coldwater Lakes,1.5,29,37,,,
,39,L39,49.125,92.213611,,A,P,Coldwater Lakes,1.5,39,23,,,
,42,L42,49.121111,92.212222,,A,P,Coldwater Lakes,1.5,26,18,,,
NA,111,L111,,,NA,P,P,ELA,3,9,32,fathead.minnow|lake.trout|lake.whitefish|longnose.dace|northern.redbelly.dace|pearl.dace|slimy.sculpin|white.sucker,NA,
NA,223,L223,49.698,-93.708,NA,A,NA,ELA,1,27,14,brook.stickleback|fathead.minnow|finescale.dace|lake.chub|lake.trout|pearl.dace|slimy.sculpin|white.sucker,NA,
NA,224,L224,49.69053791,-93.7158898,NA,A,P,ELA,1.5,26,27,brook.stickleback|fathead.minnow|finescale.dace|lake.trout|northern.redbelly.dace|pearl.dace|slimy.sculpin|white.sucker,NA,
NA,228,L228,49.68904264,-93.65369348,NA,P,P,ELA,3,1300,167,burbot|deepwater.sculpin|lake.herring|lake.trout|longnose.dace|pearl.dace|slimy.sculpin|spottail.shiner|trout.perch|white.sucker|yellow.perch,burbot,
NA,239,L239,49.66306708,-93.72277319,NA,P,P,ELA,3,54,30,brook.stickleback|Iowa.darter|lake.herring|lake.trout|northern.pike|northern.redbelly.dace|pearl.dace|slimy.sculpin|white.sucker|yellow.perch,pike,
NA,260,L260,49.6966456,-93.76728166,NA,A,A,ELA,1,34,14,fathead.minnow|finescale.dace|lake.chub|lake.trout|northern.redbelly.dace|pearl.dace|slimy.sculpin|white.sucker,NA,
NA,262,L262,49.71274413,-93.69150688,NA,P,P,ELA,3,84,30,blacknose.shiner|burbot|johnny.darter|lake.herring|lake.trout|logperch|northern.pike|pearl.dace|spottail.shiner|white.sucker|yellow.perch,pike|burbot,
NA,305,L305,49.69130809,-93.69251937,NA,P,P,ELA,3,52,33,blacknose.shiner|bluntnose.minnow|central.mudminnow|fathead.minnow|finescale.dace|lake.trout|lake.whitefish|longnose.dace|pearl.dace|slimy.sculpin|spottail.shiner|white.sucker|yellow.perch,NA,
NA,310,L310,49.66397886,-93.64036758,NA,P,P,ELA,3,50,20,brook.stickleback|deepwater.sculpin|fathead.minnow|lake.trout|lake.whitefish|longnose.dace|pearl.dace|slimy.sculpin|white.sucker|yellow.perch,NA,
NA,373,L373,49.74430111,-93.79960141,NA,A,P,ELA,1.5,27,21,fathead.minnow|finescale.dace|lake.trout|northern.redbelly.dace|pearl.dace|slimy.sculpin|white.sucker,NA,
