BsM_Cycle,FMZ,lakeName,waterbodyID,secchiDepth,surfaceArea,lakeVolume,maxDepth,meanDepth,lat,long,yearSample,COLTR (TCU),pH,cond,alk,Ca,MGUT (mg/L),Na,KKUT (mg/L),CLIDUR (mg/L),SSO4UR (mg/L),SIO3UR (mg/L),FEUT,DIC,DOC,NNHTUR (mg/L),NNOTUR (ug/L),TKN,TDP,dateSample,NtoPratio
3,4,Abram L.,15-5765-55453,2.5,2438.5,325790362.5,40,13.4,50.05909,-91.92916,2022,75.299,7.25,74.4,27.199,10.699,2.25,0.915,0.623,0.426,2.95,1.78,112,7.379,11.1,10,86.7,370,12.85,NA,NA
3,4,Amik L.,15-5782-55201,1.8,1161.6,63260997.31,20.4,5.5,49.83026,-91.91356,2019,66.2,7.269,53.6,22.899,6.839,1.98,1.28,0.555,0.23,1.1,1.84,130,4.74,12,42,26,398,16.1,NA,NA
3,4,Arc L.,15-6471-56202,3.1,596.3,34178029.16,31,5.7,50.71702,-90.90662,2019,47.299,7.41,49.899,22.199,6.839,1.74,0.585,0.42,0.15,0.8,1.62,50,4.48,8.8,26,20,270,6.3,NA,NA
3,4,Arethusa L.,15-5837-55088,2.3,767.9,48496399.26,18,6.2,49.71847,-91.86176,2019,20.8,7.29,45,19.899,5.4,1.34,1.26,0.54,0.18,1.35,1.12,60,4.059,6.2,36,2,283,11.1,NA,NA
3,4,Bawden L.,15-6011-55383,2,376.2,13120600.16,11,3.4,49.99869,-91.58399,2019,97.7,7.099,51.299,21.3,6.929,1.84,0.843,0.674,0.201,0.621,1.69,177,5.49,13.4,14.5,103,470,16.25,NA,NA
3,4,Bell L.,15-6500-55194,4,4161.8,396112009.3,34.4,9.5,49.80966,-90.93897,2022,16,7.04,44.5,18.8,6.21,0.189,0.781,0.522,0.147,1.449,0.93,30,4.799,5.049,10,44.1,270,6.815,NA,NA
3,4,Berens L.,15-4525-57350,1,2661.7,131148790.1,11.6,4.7,51.75814,-93.71456,2022,146,7.04,44.2,20.1,6.41,1.73,0.752,0.719,0.137,0.464,2.21,620,4.5,15,10,44.299,430,40.35,NA,NA
3,4,Bertaud L.,15-6617-56410,1.5,412.6,28814535.02,24,6.9,50.89944,-90.69978,2019,64.799,7.23,42.5,18.1,6.08,1.439,0.49,0.41,0.14,0.85,1.34,100,3.72,11.4,32,54,325,6.9,NA,NA
3,4,Big Canon L.,15-4455-55462,4,2089.2,451307120.9,63,21.6,50.06847,-93.75888,2022,19.699,7.08,45.2,19.3,4.849,1.659,1.129,0.689,0.194,1.86,0.48,49,4.61,6.389,10,30.899,280,9.63,NA,NA
3,4,Big Fox L.,15-4131-55595,1.5,1624.3,127065980,33.7,7.8,50.17355,-94.19317,2022,75.599,7.299,81.099,31.6,10.1,2.609,2.129,0.951,1.74,2.299,1.139,281,7.83,11.3,10,74.799,430,24.1,NA,NA
3,4,Big Sandy L.,15-5463-55189,3.1,3808.1,775500560.9,41,20.3,49.82359,-92.36295,2019,16,7.889,143,66.2,19.6,4.36,2.64,1.09,2.27,2.399,1.08,30,15.199,6.299,26,18,282,11,NA,NA
3,4,Big Vermilion L.,15-5556-55428,6,6900.5,871168593.9,41,12.6,50.04484,-92.20826,2021,14.9,7.62,131,60.5,18.899,3.569,1.449,0.896,0.452,2.23,1.889,30,15.1,4.679,10,28.199,220,11.13,NA,NA
3,4,Birch L.,15-5452-56951,3.5,11623.4,874916825.7,37,7.4,51.39338,-92.37217,2019,22.399,7.4,57.2,25.8,8.859,1.34,0.59,0.515,0.14,1.2,0.78,30,5.9,7.099,26,2,261,8.199,NA,NA
3,4,Blair L.,15-4919-56922,2,126.1,4751811.43,11.3,3.8,51.37386,-93.11465,2022,107,6.54,22.699,6.639,2.45,0.705,0.712,0.926,0.232,1.04,1.449,402,1.97,12.1,10,62.6,360,16.5,NA,NA
3,4,Botsford L.,15-5970-55554,2.5,1472.6,99070208.44,24,6.7,50.13856,-91.6591,2022,88,7.25,68.599,29.3,9.98,2.169,0.855,0.617,0.334,2.62,1.76,176,6.58,11.8,10,88.7,420,14.5,NA,NA
3,4,Bury L.,15-6143-55885,1.5,473.8,33271801.3,17,6.9,50.43634,-91.3911,2019,65.099,7.519,78.299,36.2,10.8,2.64,0.785,0.67,0.24,1.149,2,70,7.66,10.8,36,48,343,10.199,NA,NA
3,4,Cecil L.,15-6164-54885,3.4,1560.8,195266138.4,24.4,12.4,49.54021,-91.40065,2019,6.16,7.509,91.599,36.899,11.199,2.629,2.31,0.7,2.62,2.399,1.399,400,8.039,3.6,26,2,203,10.399,NA,NA
3,4,Clay L.,15-4653-55440,0.9,2755.4,243936206.8,21.9,7.9,50.04611,-93.48572,2019,79.599,7.54,116,41.7,12.6,3.08,6.879,1.26,4.839,4.75,1.2,310,9.859,10.699,104,14,499,48.599,NA,NA
3,4,Clay L.,15-4653-55440,0.9,2755.4,243936206.8,21.9,7.9,50.04611,-93.48572,NA,79.599,7.54,116,41.7,12.6,3.08,6.879,1.26,4.839,4.75,1.2,310,9.859,10.699,104,14,499,48.599,NA,NA
