BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,lat,long,maxDepth,meanDepth.,surfaceArea,lakeVolume
1,7,16-6447-54048,Dayohessarah,2012-04-30,2012,5.3,53,17.7,0.2,9.4,128,15.7,5.4,0.5,3.9,0.6,4,18,242,8.1,9.7,0.3,2.3,NA,48.78119,-85.02995,26.6,10.1,1170.7,112473600
1,7,16-7139-53538,Dog,2011-05-25,2011,4,38.2,11.8,0.3,18.2,90.2,9.3,6.4,0.5,2.9,0.8,46,20,334,7.5,10.1,1.6,3.9,NA,48.30313,-84.11602,75.9,12,5295.7,633983388.9
1,7,16-6727-53244,Lena,2012-04-30,2012,5.9,28,12.4,0.2,8,88.8,7.9,3.7,0.3,2.3,0.4,2,64,178,7.8,4.3,0.9,7.6,NA,48.05118,-84.683,38.1,11,92.4,10065000
1,7,16-6121-53610,North McCrea,2012-04-30,2012,4,13.6,5.1,0.2,39.6,40,3.8,8,0.2,1.3,0.7,8,56,296,7.4,7.8,2,2.4,NA,48.39452,-85.48552,15.9,5.6,110,6137600
1,7,16-6699-53200,Wawa,2012-04-30,2012,6.3,41.5,18.8,7.5,8,190,11.6,3.6,0.5,6.9,5.1,2,52,165,7.9,3.8,1.2,28.7,NA,48.01285,-84.72161,32.9,15.6,668.3,105674400
1,8,17-4999-52930,Banner,2008-05-22,2008,2.2,2.44,2.08,0.15,46,21.8,0.82,8.2,0.16,0.815,0.75,18,34,327,6.4,7.6,1.52,4.6,61,47.79376,-81.00072,NA,NA,NA,NA
1,8,17-3210-54534,Big Pike,2008-06-03,2008,3,103,32.5,0.34,28.6,201,23.6,9.3,0.945,7.55,0.89,40,4,456,8.14,7.6,1.38,1.85,47,49.20875,-83.45615,NA,NA,NA,NA
1,8,17-3280-52990,Borden,2010-04-22,2010,5.7,53.6,17.9,1.38,11,111,14,4.1,0.91,2.93,1.26,12,22,266,7.65,6.4,0.96,2.85,NA,47.82327,-83.29694,45.8,7.1,1631.6,112968525.4
1,8,17-5892-54928,Chabbie,2008-05-29,2008,1.4,13,4.68,0.13,65.2,30.2,2.5,14.7,0.345,1.42,0.42,22,8,329,7.11,8.5,0.86,0.85,170,49.58721,-79.76654,NA,NA,NA,NA
1,8,17-3714-52934,Cree,2010-04-22,2010,6.5,57.5,17.6,0.3,11.6,117,14.4,6.7,0.43,4.29,0.775,28,2,434,7.78,11.8,0.08,3.1,NA,47.77507,-82.70472,10.7,3.8,508.8,19083567.45
1,8,17-5439-55794,Edgar,2008-05-29,2008,2.1,42.5,13.6,0.35,26.8,89,10.5,5.3,0.215,3.34,0.61,32,4,266,7.67,9.3,0.44,1.25,222,50.35625,-80.37828,NA,NA,NA,NA
1,8,17-5975-55652,Favell,2008-05-29,2008,1.2,13.2,4.52,0.15,64.8,25.4,2.34,14.7,0.185,1.11,0.305,18,8,305,7,11.8,0.48,0.55,132,50.21996,-79.6307,NA,NA,NA,NA
1,8,17-3804-53044,Hanson,2010-04-22,2010,5.9,44,15,0.35,23.4,92.8,11.2,7,0.325,2.69,0.845,18,18,329,7.73,7.3,1.76,3.15,NA,47.87806,-82.59691,11,3.4,159.2,5370393.53
1,8,17-5240-53148,Hawley,2008-05-22,2008,1.7,11.4,6.54,0.81,58.6,49.2,3,9,0.35,1.37,0.995,30,4,390,7.03,7.4,1.08,7.05,60,47.98793,-80.67798,NA,NA,NA,NA
1,8,17-3644-55310,Hillmer,2008-06-03,2008,1.5,45.2,13.7,0.2,74.6,94.4,10.6,12.7,0.415,3.42,0.63,30,6,484,7.61,12.1,0.96,0.8,NA,49.91811,-82.88897,NA,NA,NA,NA
1,8,17-5372-53175,Holmes,2008-05-22,2008,2.7,9.57,4.08,0.19,42.2,33,2.4,7.4,0.36,0.95,0.835,20,52,335,6.96,6.8,1.56,3.7,NA,48.01432,-80.50166,NA,NA,NA,NA
1,8,17-4010-53144,Horwood,2008-06-04,2008,1.3,28.8,11.2,0.3,72.6,69.6,6.98,11.9,0.35,2.46,0.73,18,38,404,7.46,10.7,1.6,3.8,NA,47.96766,-82.32184,50.7,6.4,5411.6,360776068.6
1,8,17-4464-53580,Jowsey,2008-06-04,2008,2.1,29.8,10.8,0.21,55.4,66.8,7.2,10,0.225,2.32,0.58,28,24,390,7.5,8.6,1.08,1.9,738,48.3748,-81.72373,NA,NA,NA,NA
1,8,17-3563-53717,Kapuskasing,2010-07-26,2010,1.3,66.8,21,1.86,39,135,19,10.6,0.75,4.73,1.76,36,2,470,7.94,18.9,1.24,2.65,NA,48.4837,-82.94457,11,2.1,1822.3,39284697.19
1,8,17-4271-53064,Katagi,2008-05-27,2008,2.2,7.97,3.5,0.16,46.6,28,1.88,13.1,0.28,1.1,0.66,16,48,396,6.7,9.4,2.3,2.8,NA,47.90867,-81.96916,18,4.5,252,11142000.27
1,8,17-4322-53002,Ketchini,2008-05-27,2008,3.9,24.9,1.8,0.25,53.6,61.8,6.32,8.5,0.335,2.05,0.865,12,70,293,7.39,6.2,2.56,3.95,174,47.85039,-81.90726,NA,NA,NA,NA
