Cycle,FMZ,Lake Name,waterbodyID,Latitude,Longitude,secchiDepth,COLTR (TCU),pH,cond,alk,Ca,MGUT (mg/L),Na,KKUT (mg/L),CLIDUR (mg/L),SSO4UR (mg/L),SIO3UR (mg/L),FEUT,DIC,DOC,NNHTUR (mg/L),NNOTUR (ug/L),NNTKUR (ug/L),TDP
3,4,Abram L.,15-5765-55453,50.05909,-91.92916,2.5,75.299,7.25,74.4,27.199,10.699,2.25,0.915,0.623,0.426,2.95,1.78,112,7.379,11.1,10,86.7,370,12.85
3,4,Amik L.,15-5782-55201,49.83026,-91.91356,1.8,66.2,7.269,53.6,22.899,6.839,1.98,1.28,0.555,0.23,1.1,1.84,130,4.74,12,42,26,398,16.1
3,4,Arc L.,15-6471-56202,50.71702,-90.90662,3.1,47.299,7.41,49.899,22.199,6.839,1.74,0.585,0.42,0.15,0.8,1.62,50,4.48,8.8,26,20,270,6.3
3,4,Arethusa L.,15-5837-55088,49.71847,-91.86176,2.3,20.8,7.29,45,19.899,5.4,1.34,1.26,0.54,0.18,1.35,1.12,60,4.059,6.2,36,2,283,11.1
3,4,Bawden L.,15-6011-55383,49.99869,-91.58399,2,97.7,7.099,51.299,21.3,6.929,1.84,0.843,0.674,0.201,0.621,1.69,177,5.49,13.4,14.5,103,470,16.25
3,4,Bell L.,15-6500-55194,49.80966,-90.93897,4,16,7.04,44.5,18.8,6.21,0.189,0.781,0.522,0.147,1.449,0.93,30,4.799,5.049,10,44.1,270,6.815
3,4,Berens L.,15-4525-57350,51.75814,-93.71456,1,146,7.04,44.2,20.1,6.41,1.73,0.752,0.719,0.137,0.464,2.21,620,4.5,15,10,44.299,430,40.35
3,4,Bertaud L.,15-6617-56410,50.89944,-90.69978,1.5,64.799,7.23,42.5,18.1,6.08,1.439,0.49,0.41,0.14,0.85,1.34,100,3.72,11.4,32,54,325,6.9
3,4,Big Canon L.,15-4455-55462,50.06847,-93.75888,4,19.699,7.08,45.2,19.3,4.849,1.659,1.129,0.689,0.194,1.86,0.48,49,4.61,6.389,10,30.899,280,9.63
3,4,Big Fox L.,15-4131-55595,50.17355,-94.19317,1.5,75.599,7.299,81.099,31.6,10.1,2.609,2.129,0.951,1.74,2.299,1.139,281,7.83,11.3,10,74.799,430,24.1
3,4,Big Sandy L.,15-5463-55189,49.82359,-92.36295,3.1,16,7.889,143,66.2,19.6,4.36,2.64,1.09,2.27,2.399,1.08,30,15.199,6.299,26,18,282,11
3,4,Big Vermilion L.,15-5556-55428,50.04484,-92.20826,6,14.9,7.62,131,60.5,18.899,3.569,1.449,0.896,0.452,2.23,1.889,30,15.1,4.679,10,28.199,220,11.13
3,4,Birch L.,15-5452-56951,51.39338,-92.37217,3.5,22.399,7.4,57.2,25.8,8.859,1.34,0.59,0.515,0.14,1.2,0.78,30,5.9,7.099,26,2,261,8.199
3,4,Blair L.,15-4919-56922,51.37386,-93.11465,2,107,6.54,22.699,6.639,2.45,0.705,0.712,0.926,0.232,1.04,1.449,402,1.97,12.1,10,62.6,360,16.5
3,4,Botsford L.,15-5970-55554,50.13856,-91.6591,2.5,88,7.25,68.599,29.3,9.98,2.169,0.855,0.617,0.334,2.62,1.76,176,6.58,11.8,10,88.7,420,14.5
3,4,Bury L.,15-6143-55885,50.43634,-91.3911,1.5,65.099,7.519,78.299,36.2,10.8,2.64,0.785,0.67,0.24,1.149,2,70,7.66,10.8,36,48,343,10.199
3,4,Cecil L.,15-6164-54885,49.54021,-91.40065,3.4,6.16,7.509,91.599,36.899,11.199,2.629,2.31,0.7,2.62,2.399,1.399,400,8.039,3.6,26,2,203,10.399
3,4,Clay L.,15-4653-55440,50.04611,-93.48572,0.9,79.599,7.54,116,41.7,12.6,3.08,6.879,1.26,4.839,4.75,1.2,310,9.859,10.699,104,14,499,48.599
3,4,Cliff L.,15-4785-55574,50.16879,-93.29998,3.3,16.8,7.54,80.7,34.299,9.64,2.5,2.45,0.76,2.49,1.649,0.78,20,8.599,6.2,26,2,285,10.199
3,4,Confederation L.,15-5210-56629,51.11521,-92.67556,5.5,19.6,7.11,51.799,21.1,7.87,1.05,0.586,0.549,0.149,1.24,0.44,33,5.549,6.519,10,46.299,280,9.025
3,4,Crystal L.,15-6321-55100,49.72882,-91.1675,1.5,128,7.059,43,16.8,6.799,1.34,0.836,0.518,0.291,0.896,2.08,171,4.2,14.6,12,30,440,11.15
3,4,Delaney L.,15-4250-55493,50.09299,-94.048,5,6.99,6.96,36.799,12.8,3.85,1.189,0.999,0.526,0.423,2.399,0.23,30,3.419,3.399,11.3,5,240,8.769
3,4,Eye L.,15-4642-55404,50.01584,-93.50594,2.3,53.399,7.389,84.7,38.399,8.49,3.899,2.58,1.1,0.238,0.89,3.009,235,9.47,10.8,27.199,109,540,25.05
3,4,Fitchie L.,15-6742-56100,50.61813,-90.53714,1.8,72.2,7.44,60.299,25.5,8.619,1.78,0.81,0.495,0.78,0.75,1.24,130,5.32,11.1,32,8,358,10.3
3,4,Gibraltar L.,15-6378-55460,50.0521,-91.07599,2,95.099,6.969,36.6,14.8,6,0.772,0.536,0.275,0.087,0.796,1.629,128,3.64,12.5,11.4,59.899,410,10.85
3,4,Gooch L.,15-6046-55042,49.69139,-91.55158,1.5,127,6.99,37.7,12.199,4.78,1.429,0.876,0.761,0.262,3,1.69,193,2.6,14.199,30,73.299,530,21.5
3,4,Greenbush L.,15-7043-56488,50.95093,-90.10466,2.1,41.399,7.509,63.6,29.6,9.38,2.009,0.395,0.4,0.16,0.55,0.4,80,5.799,10.4,30,110,366,7.099
