lat,long,commonID,samplingProgram
48.67977,-91.68384,Abbess_1,BsM
48.65805,-79.84475,Abitibi_1,BsM
50.05909,-91.92916,Abram_1,BsM
46.91679,-84.19601,Achigan_1,BsM
48.16665,-90.42954,Addie_1,BsM
47.05965,-84.31112,Adelaide_1,BsM
48.22804,-91.35112,Agnes_1,BsM
46.36526,-81.75464,Agnew_1,BsM
45.63437,-79.69545,Ahmic_1,BsM
46.87867,-80.01783,Aileen_1,BsM
44.86839,-78.14583,Alder_1,BsM
49.83026,-91.91356,Amik_1,BsM
49.62961,-94.08984,Andy_1,BsM
47.25951,-79.90616,Anima Nipissing_1,BsM
50.43988,-93.44327,Anishinabi_1,BsM
47.07089,-83.51018,Anvil_1,BsM
47.42262,-80.26691,Anvil_2,BsM
45.37262,-78.81965,Arbuckle_1,BsM
49.71847,-91.86176,Arethusa_1,BsM
48.25397,-91.80679,Argo_1,BsM
48.15855,-90.26498,Arrow_1,BsM
46.56531,-82.85482,Astonish_1,BsM
48.77457,-90.20796,Athelstane_1,BsM
49.49768,-93.53348,Atikwa_1,BsM
46.90546,-83.18616,Aubrey_1,BsM
49.8623,-93.71668,Augite_1,BsM
47.14395,-81.23287,Avery_1,BsM
45.61836,-77.85586,Aylen_1,BsM
48.72571,-92.68243,Bad Vermilion_1,BsM
44.58044,-78.84168,Balsam_2,BsM
45.11648,-78.00344,Baptiste_1,BsM
49.34384,-87.80103,Barbara_1,BsM
46.91066,-82.46795,Bark_1,BsM
45.4552,-77.84943,Bark_2,BsM
49.65928,-91.53454,Barrel_1,BsM
44.60345,-79.50664,Bass_1,BsM
48.44209,-90.17355,Batwing_1,BsM
49.99869,-91.58399,Bawden_1,BsM
46.42728,-82.9196,Bay_1,BsM
47.21363,-83.14591,Beak_1,BsM
46.18806,-81.44897,Bear_1,BsM
49.71792,-87.60467,Beatty_1,BsM
48.54596,-92.10223,Beaverhouse_1,BsM
48.86818,-90.84937,Bedivere_1,BsM
49.80966,-90.93897,Bell_1,BsM
45.44431,-79.03118,Bella_1,BsM
44.49514,-77.82654,Belmont_1,BsM
43.7585,-80.33953,Belwood_1,BsM
49.32637,-92.15291,Bending_1,BsM
51.75814,-93.71456,Berens_1,BsM
45.73885,-79.38526,Bernard_1,BsM
49.47183,-93.96128,Berry_1,BsM
48.95168,-91.57173,Bethune_1,BsM
44.57664,-78.3863,Big Bald_1,BsM
50.06847,-93.75888,Big Canon_1,BsM
44.72582,-76.90691,Big Clear_1,BsM
45.7668,-79.7507,Big Deer_1,BsM
44.82693,-76.96878,Big Gull_1,BsM
49.95155,-93.97876,Big Island_1,BsM
46.41782,-82.87769,Big Moon_1,BsM
44.75128,-76.21379,Big Rideau_1,BsM
49.82359,-92.36295,Big Sandy_1,BsM
50.04484,-92.20826,Big Vermilion_1,BsM
45.05711,-79.05464,Bigwind_1,BsM
51.39338,-92.37217,Birch_2,BsM
47.29951,-82.08179,Biscotasi_1,BsM
48.70281,-88.75896,Bisect_1,BsM
48.45849,-83.25316,Bittern_1,BsM
49.35824,-88.87211,Black Sturgeon_1,BsM
